,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2023-01-31,22878.0,15379.000000000002,18142.0,21100.0,26980.0,42609.0
2023-02-28,23001.996864120832,15455.15408843518,18252.348786857525,21213.299035031992,27146.88756495325,42940.43354440431
2023-03-31,23117.573595201702,15508.223837223572,18352.91036541405,21315.990708192352,27282.936193672038,43276.704706299985
2023-04-30,23211.45434343055,15548.239870630905,18434.310456870197,21409.345371463085,27408.550198368448,43579.53814260289
2023-05-31,23287.205049633096,15579.214438363464,18512.544236072306,21505.62199864869,27544.800796297328,43915.239004723924
2023-06-30,23350.992550337796,15599.09612878925,18578.954207506864,21573.470834275813,27640.458293992655,44199.293689492195
2023-07-31,23439.084552386536,15631.006623284984,18656.715844675025,21668.634552859923,27747.243075216127,44464.95691585636
2023-08-31,23507.217042981498,15645.689073695328,18720.08572004283,21757.074512958465,27867.426954706825,44802.316187023556
2023-09-30,23563.778139447666,15653.65160172631,18770.922795479895,21839.335592153027,27969.49731369727,45067.40343898846
2023-10-31,23620.310269314567,15650.839054407443,18819.54719207802,21916.962896560242,28084.38932878379,45412.19504975601
2023-11-30,23635.13049623499,15622.479996780447,18842.094701091788,21988.732381074722,28161.338242333008,45653.03604936173
2023-12-31,23687.58443383647,15616.503730980305,18883.909656474276,22056.842078773483,28270.48430116715,45897.71167655665
2024-01-31,23657.85860475568,15566.789970857135,18856.966396048767,22067.58836127499,28295.60574660838,45920.37045267747
2024-02-29,23644.018668536813,15511.5480456931,18837.934241584757,22079.740829263257,28307.223720432194,45902.53794479876
2024-03-31,23653.95573664373,15469.82382676725,18802.344393217474,22080.415366099387,28352.00395415563,45941.84606956433
2024-04-30,23659.62099363748,15412.152305642456,18798.670099765193,22095.139409302756,28394.420199272285,45984.24260878112
2024-05-31,23662.888121123382,15366.868704798942,18756.08693968721,22099.42433895288,28453.995694258927,46016.00206414154
2024-06-30,23682.344528484602,15322.085642037602,18738.72130636282,22106.365739758574,28498.60106873335,46071.02889911363
2024-07-31,23678.827373510278,15254.276238486616,18712.656105462476,22092.41039070714,28536.28120364811,46157.39668588018
2024-08-31,23733.097059518535,15223.328683920394,18690.89082516501,22110.550337842684,28620.66095753126,46205.68348545595
2024-09-30,23767.40266039944,15160.861531265467,18672.845026831317,22108.273583075417,28708.20986586548,46333.778205733746
2024-10-31,23773.023705215364,15077.722950321775,18610.62044649635,22062.985457738723,28765.007945338766,46433.296935064776
2024-11-30,23782.631468825333,14975.362118012934,18535.306780071838,22030.41165715998,28808.349995626537,46576.46771431051
2024-12-31,23810.322013168054,14923.194926782235,18510.721113366977,22000.787604622088,28855.503706443134,46699.79433124857
2025-01-31,23775.28767363187,14858.647760319176,18423.912424551683,21917.54945033079,28826.799679644264,46754.46224621323
2025-02-28,23669.332427181675,14751.969588425389,18323.296308136454,21791.752189298415,28721.801444856428,46720.01585609368
2025-03-31,23623.185585431416,14702.427441358965,18253.92726831094,21718.193715783756,28643.842685256717,46740.90698664434
