,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2022-01-31,2591873712.66249,1802797.6152999997,495346.69557,836635203.21589,95370644.20060001,6113576.8855800005,201755637.71624,96808195.32228,150114038.02252,2318608.506651,80003498.76216,160509288.85176003,2544977.467976,70413061.21983,27727720.104224,32817075.681852,14591051.82074
2022-02-28,2614261165.180404,1831487.7773080724,513793.51085616794,851245397.6383554,97349927.17972712,6264984.1914214585,200934090.38008022,98083823.33094367,151942941.31339136,2313922.82391711,80300329.43194294,162689764.9832225,2548010.9105270305,71533743.25553897,27992177.42018284,33005025.861809827,14733634.73232579
2022-03-31,2638864822.4523053,1858837.9017124039,539247.2254234581,865822944.3564707,99729709.13689835,6410590.565040525,199027481.46259645,99550249.58743918,153954867.2735696,2316366.8962959354,80769488.6122722,166019540.522124,2557055.213007581,72857859.05775042,28325675.245750517,33395006.556176987,14890401.880023753
2022-04-30,2660555623.721733,1881366.2366468962,566846.8441032635,877383199.6695,102242580.28266197,6542957.7239095755,196153188.06024244,101162251.54091205,155816693.72745237,2323347.6453194055,81220561.71682422,170129259.99807346,2566449.0456690555,74275379.2353769,28673040.808910962,33961138.95141075,15021163.929485101
2022-05-31,2683435818.4851546,1899673.2616272669,596054.1610314408,887258284.2243503,104858721.94795987,6657098.651219576,192527205.3394971,102881731.39273342,157676240.8459003,2339361.32973046,81812425.07325815,175109094.20409963,2580645.9916301123,75815560.57708581,29061853.16341758,34727299.35249832,15149079.550478118
2022-06-30,2704212738.0537753,1915052.0961846716,626349.558991508,893143469.8079896,107482714.39180613,6753307.8558372,188333536.54899195,104715516.53485243,159416848.79794315,2366191.552417348,82488989.78050786,180628778.97781155,2602872.376125354,77398393.33044566,29510609.143620405,35644131.25938399,15266752.220780224
2022-07-31,2725261990.433354,1929691.9710988558,655264.2925905692,897872615.9912927,110050326.64602384,6839063.48310637,184482715.42515135,106645693.98421095,161160052.16012037,2406462.124354046,83411289.74599089,186682720.4229581,2635246.285155449,79077541.22202604,30011338.588735152,36760269.26465048,15417539.074164638
2022-08-31,2743379161.536979,1944104.4968322334,682466.2474928901,898486043.3334343,112494545.50721182,6908002.951572087,180819953.3636836,108614480.69187395,162866547.17203084,2456739.293342732,84547843.91959697,192867164.12537777,2676263.4010278583,80721453.11525209,30554169.839943137,37982364.454583496,15569329.962275261
2022-09-30,2761263812.797563,1959694.5824052333,704588.1277491059,897201909.541689,114644292.92848082,6968912.739907199,178068868.62184927,110536165.53173482,164523336.2252987,2519977.943261919,85919263.72613867,198579051.12837768,2727623.7114407094,82284383.58120088,31132963.356033042,39263957.375203714,15749489.32261023
2022-10-31,2781714205.477226,1978449.0645650956,722475.8940650587,895589357.0417839,116660392.19244924,7022437.197813947,176438509.63085756,112528693.48387587,166364175.83307517,2594965.44393158,87601799.99571165,204370822.6639257,2790034.0812574984,83883261.75471118,31776837.964230858,40630091.93836771,15969068.523482947
