,소비자물가지수,기대인플레이션율,생산자물가지수,국내공급물가지수,수입물가지수,전산업생산지수,경기종합지수,제조업 평균가동률,생산지수-총지수,생산자제품 출하지수-총지수,생산자제품 재고지수-총지수,물가수준전망,경제심리지수,경제활동인구,실업률,경제활동참가율,예금은행대출금,M1상품별구성내역,주택담보대출,무담보콜금리,국고채금리(1년),국고채금리(10년),"회사채(3년,AA-)","회사채(3년,BBB-)",주택담보대출 연리,환율-원/미국달러,수입금액지수,수입물량지수,순상품교역조건지수,소득교역조건지수,주택매매가격지수,아파트 매매 가격지수,KOSPI 시가총액,미국 소비자물가지수,중국 생산자물가지수,미국 생산자물가지수,한국은행 기준금리,추계인구,남성 인구,여성 인구,고령 인구 비율(65세 이상),합계출산율,Wage,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)","농업, 임업 및 어업(01~03)_lower","농업, 임업 및 어업(01~03)_upper",광업(05~08)_lower,광업(05~08)_upper,제조업(10~34)_lower,제조업(10~34)_upper,"전기, 가스, 증기 및 공기조절 공급업(35)_lower","전기, 가스, 증기 및 공기조절 공급업(35)_upper","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)_lower","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)_upper",건설업(41~42)_lower,건설업(41~42)_upper,도매 및 소매업(45~47)_lower,도매 및 소매업(45~47)_upper,운수 및 창고업(49~52)_lower,운수 및 창고업(49~52)_upper,숙박 및 음식점업(55~56)_lower,숙박 및 음식점업(55~56)_upper,정보통신업(58~63)_lower,정보통신업(58~63)_upper,금융 및 보험업(64~66)_lower,금융 및 보험업(64~66)_upper,부동산업(68)_lower,부동산업(68)_upper,"전문, 과학 및 기술 서비스업(70~73)_lower","전문, 과학 및 기술 서비스업(70~73)_upper","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)_lower","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)_upper",교육 서비스업(85)_lower,교육 서비스업(85)_upper,"예술, 스포츠 및 여가관련 서비스업(90~91)_lower","예술, 스포츠 및 여가관련 서비스업(90~91)_upper"
2008-01-01,79.472,3.2,87.48,87.91,101.74,77.7,102.5,83.2,78.904,84.233,61.967,152.07,111.8,23921.0,3.3,60.5,815649.1,305868.0,291623.3,4.99,5.47,5.56,6.64,8.78,4.7157,942.39,93.24,75.6,111.25,59.89,62.08,69.3,817000000000.0,96.8,98.8172,100.34,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3659.256687,1583732084.55987,2183639.6550000003,523284.77157,450617668.27798,54453441.042,2822671.714128,108016042.167,71418381.8985,97701895.15638,1870138.2912,39386123.203590006,118359819.39936,2885672.098296,22099103.53203,16399721.048866,21395748.49776,5247123.054282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-01,79.771,3.3,88.29,89.44,104.5,73.2,102.5,81.0,69.408,75.941,62.167,152.09,114.2,23894.0,3.5,60.4,822528.9,304580.7,290639.0,4.97,5.0,5.28,6.27,8.54,4.7136,944.69,84.45,67.39,110.11,55.28,62.271,69.5,860000000000.0,97.08,99.6011,101.28,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3682.228514,1548771591.5456734,2103472.797418788,526744.0488079335,441263474.0219799,53693290.2190663,2797306.8361102827,95878174.1274852,71316868.27473345,95827404.87878448,1888835.3381123631,38074707.995346,116161020.93722142,2934122.479474483,23039555.61481644,16659174.291843964,21899864.225394145,5157778.999039485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-01,80.515,3.5,89.44,92.77,113.03,80.5,102.4,82.0,80.091,88.103,61.817,152.57,106.9,24309.0,3.4,61.4,833537.3,299792.8,291617.7,4.97,5.05,5.36,6.13,8.54,4.719,979.86,95.78,74.65,108.71,64.04,62.746,70.1,861000000000.0,97.92,99.8891,104.16,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3704.06778,1521370608.155427,2043863.776701934,527239.6537071409,434348132.3445405,52958741.50257345,2787744.004146852,87875426.71425532,71269972.99489899,94432089.25566944,1910823.8970012977,37043029.68743924,114015079.72467303,2988376.510737496,23847821.155068103,16910194.278067157,22300122.321054094,5100967.867905599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,80.962,3.4,91.34,95.53,117.32,79.4,102.1,82.8,79.029,86.236,62.318,151.5,108.6,24699.0,3.2,62.3,849091.3,298474.4,294082.5,4.99,5.06,5.17,5.91,8.46,4.706,986.66,98.08,73.41,106.96,63.28,63.294,71.1,927000000000.0,98.52,99.8945,105.83,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3726.368201,1497440584.7125535,1995671.749363355,525105.1918085344,428829236.6467849,52155787.13396221,2791978.678686864,82645140.85993025,71269828.56804258,93301951.7762984,1938573.0726333803,36135511.7874475,111641671.49572162,3054880.0682629966,24639961.932638437,17186176.12922029,22655945.18273217,5066981.342303521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-01,81.63,3.8,93.18,100.48,129.85,79.9,101.8,79.8,79.029,85.408,64.369,151.59,103.8,24905.0,3.1,62.7,858336.1,304239.8,296070.9,4.99,5.07,5.5,6.22,8.89,4.6,1036.73,98.94,71.76,105.48,61.66,63.679,71.8,940000000000.0,99.35,99.8534,108.99,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3747.822914,1479255941.6308887,1963417.6594696527,520676.4090885416,425245340.0370792,51368386.03033184,2809633.525797627,80602471.4224338,71317506.11892456,92542889.10944778,1969054.2130224584,35436510.75381139,109281881.0703087,3126599.505925552,25340295.28977198,17459586.859733183,22933513.416133072,5058580.579105122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-01,82.151,4.1,94.67,102.76,133.35,78.9,101.3,79.4,77.155,83.266,66.572,153.99,98.9,24944.0,3.1,62.7,870377.1,305514.3,297787.5,4.93,5.22,5.89,6.68,9.42,4.6022,1029.27,97.68,67.38,102.37,58.08,64.064,72.5,851000000000.0,100.35,100.5983,111.15,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3770.0,1465286660.595483,1944006.743401156,513930.68375483376,423266484.1234128,50551557.5730636,2841180.922738177,81345203.02632068,71414746.02300948,92082158.26829857,2003719.898758145,34885780.89217761,106794492.88045876,3207249.8000191124,26000214.40960583,17747391.331829537,23155663.27848087,5073281.10429013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,82.747,4.4,96.52,104.62,134.79,78.8,101.0,78.1,77.093,84.026,66.222,163.0,93.5,24887.0,3.1,62.5,883185.6,306584.4,300567.5,4.98,5.41,6.03,6.99,9.84,4.606,1019.12,110.4,73.52,100.57,61.11,64.314,73.0,810000000000.0,100.88,101.1826,113.92,5.0,49054708.0,24671648.0,24383060.0,10.2,1.192,3792.274911,1456129867.3958037,1937787.2298519537,505564.1919726922,422933199.1515404,49765191.78605967,2883911.08223851,84570760.37269306,71553898.128967,91928292.04602124,2039778.927625665,34505791.254817486,104355398.50533883,3290607.0001631333,26581646.92219483,18029813.002049197,23312208.931441337,5108292.39478447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-01,82.598,4.2,96.24,102.84,128.86,76.3,100.8,77.7,72.595,79.257,66.021,142.0,102.0,24593.0,3.1,61.7,891376.3,304538.7,302169.0,5.21,5.44,5.91,7.11,10.0,4.6176,1041.54,104.31,67.97,99.02,52.64,64.442,73.3,750000000000.0,100.47,99.6398,110.32,5.25,49054708.0,24671648.0,24383060.0,10.2,1.192,3813.10825,1450857400.3756988,1943399.993625342,495291.7980123114,424132234.17197406,48964377.07180977,2939968.069050301,90228143.20503022,71742801.11593336,92048893.88543506,2079055.7394465285,34257563.573796086,101818095.44699302,3381161.933483663,27128059.28770641,18324417.46192964,23417918.460209187,5164024.11348072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-01,82.673,4.5,95.85,103.25,131.84,78.8,100.7,76.9,74.344,81.262,66.021,140.0,98.2,24665.0,3.0,61.8,900567.8,307067.8,303947.1,5.21,5.48,5.99,7.46,10.44,4.609,1130.4,101.18,69.94,101.29,57.27,64.591,73.6,737000000000.0,100.33,99.5005,109.15,5.25,49054708.0,24671648.0,24383060.0,10.2,1.192,3835.226187,1449520250.048878,1960289.747821844,483642.8122281686,426807476.5281504,48183154.41238835,3007406.5037147515,97977537.65503986,71976094.42539246,92431174.4766154,2119792.417383165,34142262.52281846,99279977.50163852,3475124.671687237,27623960.01114472,18620552.82802208,23471057.473137304,5237673.793599814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,82.598,4.6,95.59,104.47,137.25,79.2,100.4,79.1,79.092,85.822,67.323,147.0,82.5,24787.0,3.0,62.1,913084.4,310565.5,305064.7,4.89,5.2,5.53,7.95,11.08,4.7367,1326.92,91.42,67.08,103.14,59.25,64.557,73.5,566000000000.0,99.32,99.4201,103.33,4.25,49054708.0,24671648.0,24383060.0,10.2,1.192,3856.337488,1451665719.1524885,1986457.844644955,471322.7372685206,430713871.3134581,47453057.16994903,3082824.276194625,107211369.7826568,72242735.90708356,93028851.8077987,2160044.193888079,34144039.27351326,96838542.76424596,3568269.115824184,28060322.667206906,18907371.273626845,23476620.166974276,5324145.618461529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
