,소비자물가지수,기대인플레이션율,생산자물가지수,국내공급물가지수,수입물가지수,전산업생산지수,경기종합지수,제조업 평균가동률,생산지수-총지수,생산자제품 출하지수-총지수,생산자제품 재고지수-총지수,물가수준전망,경제심리지수,경제활동인구,실업률,경제활동참가율,예금은행대출금,M1상품별구성내역,주택담보대출,무담보콜금리,국고채금리(1년),국고채금리(10년),"회사채(3년,AA-)","회사채(3년,BBB-)",주택담보대출 연리,환율-원/미국달러,수입금액지수,수입물량지수,순상품교역조건지수,소득교역조건지수,주택매매가격지수,아파트 매매 가격지수,KOSPI 시가총액,미국 소비자물가지수,중국 생산자물가지수,미국 생산자물가지수,한국은행 기준금리,추계인구,남성 인구,여성 인구,고령 인구 비율(65세 이상),합계출산율,Wage,국내총생산대비(A/B) (%),기초연구,응용연구,개발연구,공공기관 및 기업 고위직(11),행정?경영 지원 및 마케팅 관리직(12),전문 서비스 관리직(13),건설·전기 및 생산 관련 관리직(14),판매 및 고객 서비스 관리직(15),과학 전문가 및 관련직(21),정보 통신 전문가 및 기술직(22),공학 전문가 및 기술직(23),보건·사회복지 및 종교 관련직(24),교육 전문가 및 관련직(25),법률 및 행정 전문직(26),경영·금융전문가 및 관련직(27),문화·예술·스포츠 전문가 및 관련직(28),경영 및 회계 관련 사무직(31),금융 사무직(32),법률 및 감사 사무직(33),상담·안내·통계 및 기타 사무직(39),경찰·소방 및 보안 관련 서비스직(41),돌봄·보건 및 개인 생활 서비스직(42),운송 및 여가 서비스직(43),조리 및 음식 서비스직(44),영업직(51),매장 판매 및 상품 대여직(52),통신 및 방문·노점 판매 관련직(53),농축산 숙련직(61),임업 숙련직(62),어업 숙련직(63),식품가공 관련 기능직(71),섬유·의복 및 가죽 관련 기능직(72),목재가구악기 및 간판 관련 기능직(73),금속 성형 관련 기능직(74),운송 및 기계 관련 기능직(75),전기 및 전자 관련 기능직(76),정보 통신 및 방송장비 관련 기능직(77),건설 및 채굴 관련 기능직(78),기타 기능 관련직(79),식품가공 관련 기계 조작직(81),섬유 및 신발 관련 기계 조작직(82),화학 관련 기계 조작직(83),금속 및 비금속 관련 기계 조작직(84),기계 제조 및 관련 기계 조작직(85),전기 및 전자 관련 기계 조작직(86),운전 및 운송 관련직(87),상하수도 및 재활용 처리 관련 기계 조작직(88),목재인쇄 및 기타 기계 조작직(89),건설 및 광업 관련 단순 노무직(91),운송 관련 단순 노무직(92),제조 관련 단순 노무직(93),청소 및 경비 관련 단순 노무직(94),가사·음식 및 판매 관련 단순 노무직(95),농림어업 및 기타 서비스 단순 노무직(99)
2003-06-01,69.592,4.3,76.42,72.07,74.12,63.2,99.8,77.9,52.271,59.101,44.934,145.62,93.3,23266.0,3.4,62.2,514392.6,278561.3,173025.1054,4.03,4.28,4.46,5.28,8.37,4.7158,1194.02,34.22,47.8,160.5,48.66,52.173,55.472,490000000000.0,84.24,98.539,76.5,4.0,47892330.0,24120872.0,23771458.0,8.2,1.191,2275.0,2.28,0.329842193,0.475161646,1.474996162,609.8209450748889,4594.566742980934,2042.526705214674,1779.3301012666643,489.3267255849826,3042.606913738504,2029.912764913041,1787.1617627559267,1655.4334171017165,1822.3255872703223,4124.031023760796,2458.706741088403,2107.5960940855284,1685.716198407339,2322.494092419713,2798.813500433693,1218.430633086387,1585.493144727571,1471.6094788326868,2238.362591256622,1489.1349822425943,1765.0500796808944,2412.367703466656,1862.205085430555,1531.7005507419804,1663.9751788751194,1864.641081752938,1344.861030121348,1040.9571780538135,1948.4261317843168,1505.8962820187617,1571.762941480485,2264.306224038637,2376.0421458375404,1882.3507095639704,1891.5637065816984,222.93276136994672,1184.7765055682753,1743.4444313693298,1582.304045782743,1889.6469533651043,1128.3523957707926,1427.1226990638993,1774.3800481953692,1665.6743988352544,2158.399315540474,1909.594199667317,1401.3344682403106,1029.9137619747742,964.3313934369796,1031.5786703491326
2003-07-01,69.53,4.2,76.56,72.07,74.11,62.5,99.7,73.4,50.337,56.079,45.327,145.62,92.9,23371.0,3.6,62.4,521914.1,277602.5,175101.5942,3.85,4.27,4.95,5.65,8.74,4.7158,1181.59,38.3,53.12,160.08,49.46,52.289,55.472,490000000000.0,84.34,98.539,76.34,3.75,47892330.0,24120872.0,23771458.0,8.2,1.191,2284.079814,2.304423176,0.336047859,0.481471335,1.486903983,695.1420451214706,4602.325288280438,2073.591202022601,1803.0804112467235,528.3546118206099,3047.4692414562387,2043.6022763839176,1800.6660757054756,1661.1838606587346,1838.970646066724,4140.850082236228,2470.805737127509,2112.446132472161,1696.1965015439705,2326.4864885748834,2797.547860122885,1225.1961935180727,1593.1259630513705,1471.5163417916135,2229.262708795396,1489.2415969503832,1776.7013628623934,2399.512127862129,1863.9367401519107,1537.4139444361315,1661.0947857596084,1864.3284354991104,1347.4340776204128,1047.1105977244292,1943.1499547383544,1514.4868058478678,1582.0307149297162,2261.5454683926628,2377.074485455349,1884.835599795764,1892.749836645304,244.69730183151748,1191.6640077520783,1748.0153916089146,1590.3208986115485,1892.1677340934164,1140.641989578244,1432.210520269686,1777.4554167346214,1668.361942492941,2150.3955820106403,1909.5717910041676,1403.130653803112,1033.098560500844,968.3238934441812,1036.2999408933604
2003-08-01,69.845,4.2,76.84,72.48,74.59,61.3,99.8,77.5,50.364,56.521,45.217,145.62,99.0,23024.0,3.5,61.5,527182.6,279840.7,177178.083,3.77,4.15,5.26,5.87,9.06,4.7158,1178.42,35.08,48.17,159.4,48.2,52.462,55.472,490000000000.0,84.66,98.539,76.5,3.75,47892330.0,24120872.0,23771458.0,8.2,1.191,2294.520812,2.324215684,0.341172065,0.486660775,1.496382846,782.9090948416878,4607.8838573972525,2104.9547046097887,1828.0249121512172,568.3727664147696,3052.403526391308,2058.4138688755984,1814.6213358930972,1667.0041617310917,1858.324337274225,4156.570047542343,2481.471064417676,2117.2629827611854,1706.6625244498305,2331.547222370561,2795.0835450198374,1231.873086277138,1600.7063422898848,1471.8183345963075,2221.47973111002,1489.2137788044552,1788.700090605707,2386.2088443044,1865.5438610726465,1542.8183744120413,1657.8390391518133,1863.609095112149,1349.227945307242,1053.327922461938,1937.7439610093145,1523.2138370756506,1592.0177977587098,2258.679352268516,2377.9644618242914,1885.0793069505064,1893.2886793041864,267.17060551847953,1198.869850227123,1753.7103456606033,1598.6634951114531,1894.53285526349,1150.8404192389214,1437.339085547357,1780.5460530483128,1670.7078405501652,2141.562307167747,1909.704828457574,1404.988423974263,1036.4553798387597,972.2444462833352,1041.1475087505223
2003-09-01,70.477,4.2,77.16,72.39,73.27,63.4,99.8,78.2,52.302,59.297,44.16,145.62,99.5,23161.0,3.3,61.8,530888.4,286391.5,179254.5718,3.76,4.07,4.77,5.24,8.87,4.7158,1166.17,37.77,51.39,159.14,53.25,52.904,55.472,490000000000.0,84.93,98.539,76.78,3.75,47892330.0,24120872.0,23771458.0,8.2,1.191,2308.396203,2.343794136,0.346341335,0.491870277,1.505582525,871.0372349717559,4613.098098723579,2134.656470761656,1852.3841594277687,608.5167383522319,3057.066666323292,2072.8974249501284,1829.072822058,1672.959867453067,1877.659291769707,4173.8127869057735,2491.684414845164,2122.2253404936646,1717.1531905450302,2338.1998700569857,2792.331231807228,1238.5055836351844,1608.2112647954516,1472.55850471771,2213.82175466103,1488.9267370184073,1801.191657544564,2373.01725910708,1867.1329222695035,1548.4470628593035,1654.1468188238323,1863.721712504393,1350.6228910996117,1059.504939205063,1932.5235549180795,1531.940601098901,1601.463118203853,2255.233642697612,2379.019806857533,1884.640381656312,1893.3385179637685,289.74812471796446,1206.5640022214989,1760.2832586133982,1607.2803193352563,1897.1616859252515,1161.0848488019844,1442.904983613334,1784.387589601988,1673.353069320484,2132.6027611285435,1908.535941447531,1407.2181103351793,1040.643652914237,976.2554927861772,1046.1165277237308
2003-10-01,70.539,4.2,77.39,73.21,75.52,65.8,100.2,79.8,58.751,66.05,43.873,145.62,99.2,23348.0,3.4,62.2,538219.0,286354.8,181331.0606,3.77,4.11,4.87,5.18,9.05,4.7158,1166.27,42.64,58.36,160.0,61.74,53.432,55.466,490000000000.0,84.84,98.539,77.22,3.75,47892330.0,24120872.0,23771458.0,8.2,1.191,2323.978567,2.360578575,0.350867805,0.496403478,1.513307293,956.2317345946456,4616.719684887913,2164.242718807586,1874.485834067205,647.3384489358956,3061.611744097198,2087.6049999928587,1844.519301932396,1678.800759162899,1897.50536263443,4195.247671161454,2501.724063122609,2127.0914928238813,1727.664988477094,2345.121310419627,2789.6868846042244,1245.32216301413,1615.7951792676467,1473.779035075092,2206.0816726985354,1488.6507318838185,1813.404772168296,2359.9233487453284,1868.705476277076,1554.0618727904855,1650.3017169379784,1864.0375929900213,1352.1773708894202,1065.5906573225816,1927.7937990193093,1540.604324763675,1609.7364444347086,2251.6761735110804,2380.3148397311093,1885.174977252732,1896.9893532728315,311.5993780640882,1213.9877798389332,1764.4883845220384,1615.979855828134,1898.4966963699944,1171.1266989753008,1448.4367784373308,1788.608864840346,1675.3498815327594,2124.184167575235,1903.6585797166128,1406.025734804257,1045.029318075438,980.4011971876772,1051.1821110855974
2003-11-01,70.413,4.1,77.74,74.02,77.54,65.4,100.3,78.7,56.971,63.96,43.82,145.62,103.3,23344.0,3.5,62.2,543614.6,291032.3,183407.5494,3.8,4.47,5.35,5.53,9.64,4.7158,1184.87,40.74,54.25,157.42,56.78,53.241,55.4,490000000000.0,84.61,98.539,77.0,3.75,47892330.0,24120872.0,23771458.0,8.2,1.191,2342.133242,2.375873299,0.35508334,0.500592489,1.52019747,1043.8655373512022,4616.851723949137,2194.1579796243946,1897.192505606936,687.0767410687273,3066.247323248122,2101.9331662799777,1858.240614389737,1685.5540197552446,1918.954317804991,4215.969464762067,2510.936314236694,2132.0405598177927,1738.1599147863742,2352.0719343964447,2786.7468826979625,1251.9077136071194,1623.1641518292024,1474.275776380364,2205.5145148426686,1488.3704247384644,1825.8318084214984,2344.9954960621585,1870.2735784124663,1559.5766504012404,1649.3543935553712,1862.499299770044,1354.0723396763967,1071.4031670973477,1923.1720731112937,1549.2924433511223,1618.3053680474077,2249.477207726875,2381.407154211529,1884.1434584426495,1899.626768086554,334.063911734989,1220.2550014533272,1768.4041025204897,1623.6347563020745,1900.461117593712,1181.7506980195158,1453.6325782339177,1795.2039506594697,1678.6211174620796,2115.766333119625,1899.9548483507745,1403.9693726688083,1049.7554959081845,984.5716257156994,1056.4860689224636
2003-12-01,70.73,4.1,78.25,74.83,79.31,71.5,100.6,80.8,59.367,66.167,44.232,145.62,103.2,23061.0,3.8,61.4,538260.9,296103.4,185484.0382,3.79,4.67,5.43,5.61,9.89,4.7158,1192.95,45.72,60.18,157.13,60.1,52.801,55.1,490000000000.0,84.52,98.539,77.33,3.75,47892330.0,24120872.0,23771458.0,8.2,1.191,2361.522895,2.388868957,0.358744787,0.50419567,1.525928501,1128.4818482926296,4614.826427785692,2223.554624120648,1918.0395616642472,725.4819844339004,3070.7976218488548,2114.81512997378,1871.790468470912,1692.7744965476006,1940.7186555144144,4237.208685049959,2520.256763147566,2137.172566886557,1748.664752445743,2359.180525478431,2784.492700348842,1258.5060721647778,1630.5330012801464,1475.2435046604771,2205.667249509253,1490.2150484453498,1838.1381370021904,2332.582938808668,1871.98728964701,1565.4488615678804,1645.2067967408243,1860.0453990454016,1356.936812265266,1076.819784220253,1916.7536788537689,1557.8056711769736,1628.3317076480707,2248.4514997816104,2382.6983896798333,1883.6477856513725,1901.853677483777,355.9171380146551,1225.1111336376784,1771.7539840293564,1630.0223989311412,1902.68372812348,1193.8722499260316,1458.3228953605917,1802.159646493051,1681.7199174884738,2108.25820630695,1896.9060939524663,1401.8744868817737,1054.6417407046993,988.8455831116116,1061.923537890097
2004-01-01,71.172,4.2,79.32,75.96,80.75,62.1,100.9,79.6,53.661,59.701,45.556,145.62,106.3,22941.0,4.0,61.0,543893.6,302742.1,187560.527,3.8,4.6,5.42,5.67,9.99,4.7158,1184.32,42.15,54.63,157.1,52.09,52.586,55.0,488000000000.0,84.93,98.539,78.39,3.75,48082519.0,24210740.0,23871779.0,8.6,1.164,2383.266686,2.400617261,0.362126343,0.50748313,1.531007788,1217.7024934249548,4615.762123635982,2261.975762685279,1939.1153755760656,766.0663573435337,3076.43581852952,2126.076359366745,1885.6648943262835,1699.953805407384,1964.5895194558416,4246.779907960085,2529.835331757564,2144.212880101785,1759.3607423590497,2366.0151999595646,2782.024250650536,1261.2661027067163,1636.5207290363917,1472.9527218311518,2206.5161711962387,1492.1322121374376,1851.2791229112293,2318.1146483474604,1876.031591251194,1567.6121097830628,1640.721770916119,1858.2448220773144,1361.1899108230998,1081.9695463202645,1910.6871662806277,1565.987927173887,1640.6271417564549,2246.366593099672,2393.1318855426957,1883.1673355525795,1906.514841149784,378.5207496813356,1228.3355634795778,1772.9674808963289,1635.394846540947,1904.3315417506133,1206.511031755794,1463.1665979181978,1807.6476115470675,1685.8702867099628,2096.3185646144843,1894.1528716091088,1397.4637291185638,1058.0603119248376,992.8412810153494,1069.0105548557187
2004-02-01,71.487,3.4,80.31,76.95,80.65,60.6,101.4,82.7,56.703,62.783,46.584,145.62,107.4,23059.0,4.1,61.3,548387.1,303377.3,189637.0158,3.78,4.42,5.43,5.63,10.03,4.7158,1166.69,45.12,57.07,156.8,56.35,52.693,55.1,487000000000.0,85.39,98.539,78.77,3.75,48082519.0,24210740.0,23871779.0,8.6,1.164,2406.569958,2.410845846,0.365129968,0.510358006,1.535357872,1301.3519351136938,4635.7008167331,2291.8834330070067,1961.8186094250611,806.1095074779836,3084.104647080221,2135.531946135756,1899.3944545921688,1704.638933047483,1981.3387389018208,4259.245562391464,2541.7514673632254,2147.480784356618,1769.827313917756,2370.619775460216,2780.6354935457807,1267.407875049518,1642.6557820382177,1471.2577661198527,2201.174168464744,1495.5702834638705,1863.1536578622172,2304.414315673558,1876.7526526805348,1572.119884198339,1636.594701948733,1857.5073665975483,1364.5847326439462,1087.9525921507388,1905.9952225602851,1574.9853368753045,1656.379087119918,2240.62831255145,2393.99347429981,1883.9806976413552,1903.307404079854,401.3479902975049,1233.6041360578474,1772.8315823241985,1641.263813096814,1906.6585989548096,1218.678600019675,1468.5881361370643,1813.3833224017144,1687.2128817122748,2087.7355210246537,1895.9242934625552,1397.7913239782092,1060.186242918394,997.254346016164,1074.87975854021
2004-03-01,72.181,3.5,81.08,78.01,81.79,66.6,101.6,80.6,60.936,68.08,46.754,145.62,106.0,23417.0,4.0,62.2,553624.1,306044.0,191713.5046,3.77,4.25,5.26,5.37,9.85,4.7158,1166.34,49.65,61.88,155.66,62.22,52.8,55.4,487000000000.0,85.94,98.539,79.33,3.75,48082519.0,24210740.0,23871779.0,8.6,1.164,2430.438459,2.419476858,0.367705992,0.512776243,1.538994623,1385.5329525697182,4641.0694826991175,2327.534540482912,1981.886563063997,844.7416777303885,3089.6885713772126,2150.176876728121,1914.5514655152997,1711.846989922258,2001.0711470843632,4274.451234806153,2551.882003795313,2152.990799144349,1780.699310426293,2376.3923418344216,2777.072767192428,1274.3264326636988,1649.4876238038382,1472.5542515344484,2199.7182700595613,1495.5905876833783,1875.459671632198,2291.1834793201515,1877.9336563178056,1578.162173311728,1634.990437902942,1858.8412749388144,1367.9098208511425,1094.2003421057,1899.968032404108,1583.9441915113398,1667.64160646093,2238.5675348749137,2396.0386070301697,1886.123244616156,1904.3864873655796,421.9906909154362,1240.708668932293,1775.3555410377053,1648.7158475273557,1908.831594170677,1231.065602708744,1473.6858547857123,1821.0088166846904,1691.5542955724263,2078.872817120531,1890.2650540873035,1396.3866207311826,1064.1088994422123,1001.6437717426942,1080.496381492732
