,전체 산업_Difference,"농업, 임업 및 어업 광업(01~03)_Difference",제조업(10~34)_Difference,"전기, 가스, 증기 및 공기조절 공급업(35)_Difference","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)_Difference",건설업(41~42)_Difference,도매 및 소매업(45~47)_Difference,운수 및 창고업(49~52)_Difference,숙박 및 음식점업(55~56)_Difference,정보통신업(58~63)_Difference,금융 및 보험업(64~66)_Difference,부동산업(68)_Difference,"전문, 과학 및 기술 서비스업(70~73)_Difference","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)_Difference",교육 서비스업(85)_Difference,"예술, 스포츠 및 여가관련 서비스업(90~91)_Difference"
2017-01-01,27544937.36,191556.7822,12613613.79,7028865.148,847038.1782,11109529.13,2932105.216,-1067049.421,-682851.0435,2221694.582,-1215233.713,-1123263.295,-6220175.308,-703391.8287,926286.7274,-754151.9333
2017-02-01,28983438.98,230521.0059,11751706.1,8028388.151,988326.5177,15117205.72,2726215.539,-210771.1393,-688670.4723,2122839.981,-1333081.746,-1227437.394,-7549725.442,-569460.969,1126615.93,-1037839.864
2017-03-01,35883641.78,218891.2281,15051974.62,8076607.941,1057125.851,20433986.04,3117052.927,-456434.3085,-704697.7502,1267276.211,-1613353.964,-1376164.875,-7412250.936,-247208.8649,1096768.031,-1395367.012
2017-04-01,40484858.43,253321.107,16384249.98,9073735.77,1235400.446,25603901.01,3089337.183,1155611.536,-722483.211,1228209.322,-1828266.433,-1540357.043,-8510908.047,-35001.19968,1303309.44,-1731750.154
2017-05-01,43877706.35,269977.1292,17269439.72,9971428.712,1417469.627,30728367.77,3025864.533,2742767.206,-734521.9626,1089880.226,-2047645.192,-1700352.429,-9570021.445,166347.2507,1526167.472,-2104472.723
2017-06-01,46517027.79,275631.9449,17789451.96,10842989.83,1612469.418,35851197.98,2917420.603,4427735.607,-741043.1242,883176.415,-2303119.647,-1868582.784,-10586370.65,372450.8689,1783290.184,-2519171.852
2017-07-01,47967967.13,272620.1611,17635182.44,11627500.94,1800025.556,40628234.18,2782511.638,6028544.766,-740319.4383,623953.673,-2521638.232,-2033757.941,-11445451.73,568356.0648,2048675.552,-2942341.8
2017-08-01,48406340.58,263795.6845,16896679.01,12388521.75,1987116.969,45047402.68,2618712.793,7682224.034,-730247.3147,317413.6976,-2705558.318,-2200695.412,-12149266.2,768786.5367,2341939.635,-3392971.887
2017-09-01,50129859.06,250882.573,16040600.91,13116791.25,2168907.515,48571498.28,2396966.403,9298319.54,-712239.953,17739.95543,-2905636.296,-2367782.298,-12687529.06,941858.9049,2652854.4,-3844823.967
2017-10-01,50972655.95,237426.6741,14507263.26,13762720.27,2329626.899,51256058.25,2141961.561,10780800.81,-684519.1742,-240427.3414,-3025656.366,-2525160.718,-12942903.07,1099515.61,2959207.002,-4279143.481
2017-11-01,50754377.79,226846.1795,12258909.86,14424925.83,2481662.347,52756220.71,1845447.092,12240051.68,-646744.3253,-447241.0997,-3154458.273,-2686150.711,-12955684.33,1230857.751,3285341.378,-4714848.959
2017-12-01,51332155.36,222327.4259,9966509.897,15043169.99,2606512.884,52895072.27,1523802.318,13681155.02,-603156.6254,-546378.8355,-3233719.38,-2840737.188,-12689052.88,1318923.866,3599322.11,-5085093.835
2018-01-01,54491753.09,207136.1745,8327346.629,15894316.56,2793330.66,60713804.59,1577856.515,14523253.8,-647246.9606,-419963.7468,-3497145.718,-3133398.716,-12751666.76,1345095.161,4083834.461,-5595691.974
2018-02-01,53832520.02,222846.7186,4933368.264,16639667.05,2900739.923,59007628.64,1231538.552,15811702.23,-590154.3389,-230267.8226,-3517594.915,-3306324.808,-12123053.95,1324569.681,4371776.875,-5983053.31
2018-03-01,54375074.15,255998.0452,2477729.902,17273153,2968482.891,56252349.99,1040958.003,17008746.76,-540572.4511,97933.47208,-3548930.531,-3481619.866,-10997864.86,1326548.585,4566613.592,-6284835.145
