,소비자물가지수,기대인플레이션율,생산자물가지수,국내공급물가지수,수입물가지수,전산업생산지수,경기종합지수,제조업 평균가동률,생산지수-총지수,생산자제품 출하지수-총지수,생산자제품 재고지수-총지수,물가수준전망,경제심리지수,경제활동인구,실업률,경제활동참가율,예금은행대출금,M1상품별구성내역,주택담보대출,무담보콜금리,국고채금리(1년),국고채금리(10년),"회사채(3년,AA-)","회사채(3년,BBB-)",주택담보대출 연리,환율-원/미국달러,수입금액지수,수입물량지수,순상품교역조건지수,소득교역조건지수,주택매매가격지수,아파트 매매 가격지수,KOSPI 시가총액,미국 소비자물가지수,중국 생산자물가지수,미국 생산자물가지수,한국은행 기준금리,추계인구,남성 인구,여성 인구,고령 인구 비율(65세 이상),합계출산율,Wage
2003-06-01,69.592,4.3,76.42,72.07,74.12,63.2,99.8,77.9,52.271,59.101,44.934,145.62,93.3,23266,3.4,62.2,514392.6,278561.3,173025.1054,4.03,4.28,4.46,5.28,8.37,4.7158,1194.02,34.22,47.8,160.5,48.66,52.173,55.472,4.90E+11,84.24,98.539,76.5,4,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2275
2003-07-01,69.53,4.2,76.56,72.07,74.11,62.5,99.7,73.4,50.337,56.079,45.327,145.62,92.9,23371,3.6,62.4,521914.1,277602.5,175101.5942,3.85,4.27,4.95,5.65,8.74,4.7158,1181.59,38.3,53.12,160.08,49.46,52.289,55.472,4.90E+11,84.34,98.539,76.34,3.75,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2284.079814
2003-08-01,69.845,4.2,76.84,72.48,74.59,61.3,99.8,77.5,50.364,56.521,45.217,145.62,99,23024,3.5,61.5,527182.6,279840.7,177178.083,3.77,4.15,5.26,5.87,9.06,4.7158,1178.42,35.08,48.17,159.4,48.2,52.462,55.472,4.90E+11,84.66,98.539,76.5,3.75,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2294.520812
2003-09-01,70.477,4.2,77.16,72.39,73.27,63.4,99.8,78.2,52.302,59.297,44.16,145.62,99.5,23161,3.3,61.8,530888.4,286391.5,179254.5718,3.76,4.07,4.77,5.24,8.87,4.7158,1166.17,37.77,51.39,159.14,53.25,52.904,55.472,4.90E+11,84.93,98.539,76.78,3.75,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2308.396203
2003-10-01,70.539,4.2,77.39,73.21,75.52,65.8,100.2,79.8,58.751,66.05,43.873,145.62,99.2,23348,3.4,62.2,538219,286354.8,181331.0606,3.77,4.11,4.87,5.18,9.05,4.7158,1166.27,42.64,58.36,160,61.74,53.432,55.466,4.90E+11,84.84,98.539,77.22,3.75,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2323.978567
2003-11-01,70.413,4.1,77.74,74.02,77.54,65.4,100.3,78.7,56.971,63.96,43.82,145.62,103.3,23344,3.5,62.2,543614.6,291032.3,183407.5494,3.8,4.47,5.35,5.53,9.64,4.7158,1184.87,40.74,54.25,157.42,56.78,53.241,55.4,4.90E+11,84.61,98.539,77,3.75,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2342.133242
2003-12-01,70.73,4.1,78.25,74.83,79.31,71.5,100.6,80.8,59.367,66.167,44.232,145.62,103.2,23061,3.8,61.4,538260.9,296103.4,185484.0382,3.79,4.67,5.43,5.61,9.89,4.7158,1192.95,45.72,60.18,157.13,60.1,52.801,55.1,4.90E+11,84.52,98.539,77.33,3.75,"47,892,330.00","24,120,872.00","23,771,458.00",8.2,1.191,2361.522895
2004-01-01,71.172,4.2,79.32,75.96,80.75,62.1,100.9,79.6,53.661,59.701,45.556,145.62,106.3,22941,4,61,543893.6,302742.1,187560.527,3.8,4.6,5.42,5.67,9.99,4.7158,1184.32,42.15,54.63,157.1,52.09,52.586,55,4.88E+11,84.93,98.539,78.39,3.75,"48,082,519.00","24,210,740.00","23,871,779.00",8.6,1.164,2383.266686
2004-02-01,71.487,3.4,80.31,76.95,80.65,60.6,101.4,82.7,56.703,62.783,46.584,145.62,107.4,23059,4.1,61.3,548387.1,303377.3,189637.0158,3.78,4.42,5.43,5.63,10.03,4.7158,1166.69,45.12,57.07,156.8,56.35,52.693,55.1,4.87E+11,85.39,98.539,78.77,3.75,"48,082,519.00","24,210,740.00","23,871,779.00",8.6,1.164,2406.569958
2004-03-01,72.181,3.5,81.08,78.01,81.79,66.6,101.6,80.6,60.936,68.08,46.754,145.62,106,23417,4,62.2,553624.1,306044,191713.5046,3.77,4.25,5.26,5.37,9.85,4.7158,1166.34,49.65,61.88,155.66,62.22,52.8,55.4,4.87E+11,85.94,98.539,79.33,3.75,"48,082,519.00","24,210,740.00","23,871,779.00",8.6,1.164,2430.438459
