,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2008-01-01,1583732084.55987,2183639.6550000003,523284.77157,450617668.27798,54453441.041999996,2822671.7141279997,108016042.16700001,71418381.8985,97701895.15638,1870138.2912,39386123.203590006,118359819.39936,2885672.098296,22099103.53203,16399721.048866,21395748.497759998,5247123.054282
2008-02-01,1548771591.5456734,2103472.797418788,526744.0488079335,441263474.0219799,53693290.2190663,2797306.8361102827,95878174.1274852,71316868.27473345,95827404.87878448,1888835.3381123631,38074707.995345995,116161020.93722142,2934122.479474483,23039555.614816442,16659174.291843964,21899864.225394145,5157778.999039485
2008-03-01,1521370608.155427,2043863.776701934,527239.6537071409,434348132.34454054,52958741.50257345,2787744.0041468516,87875426.71425532,71269972.99489899,94432089.25566943,1910823.8970012977,37043029.68743924,114015079.72467305,2988376.510737496,23847821.155068103,16910194.278067157,22300122.321054094,5100967.867905599
2008-04-01,1497440584.7125535,1995671.749363355,525105.1918085344,428829236.6467849,52155787.133962214,2791978.6786868637,82645140.85993025,71269828.56804258,93301951.77629839,1938573.0726333805,36135511.7874475,111641671.49572162,3054880.0682629966,24639961.932638433,17186176.12922029,22655945.182732172,5066981.342303521
2008-05-01,1479255941.6308887,1963417.6594696532,520676.40908854164,425245340.03707916,51368386.03033184,2809633.525797627,80602471.4224338,71317506.11892456,92542889.10944778,1969054.2130224586,35436510.75381139,109281881.0703087,3126599.505925552,25340295.28977198,17459586.859733183,22933513.416133072,5058580.579105122
2008-06-01,1465286660.595483,1944006.7434011556,513930.68375483376,423266484.1234128,50551557.5730636,2841180.9227381772,81345203.02632068,71414746.02300948,92082158.26829857,2003719.898758145,34885780.89217761,106794492.88045876,3207249.8000191124,26000214.40960583,17747391.331829537,23155663.27848087,5073281.10429013
2008-07-01,1456129867.3958035,1937787.2298519537,505564.1919726922,422933199.1515404,49765191.78605967,2883911.08223851,84570760.37269306,71553898.128967,91928292.04602125,2039778.927625665,34505791.254817486,104355398.50533885,3290607.0001631333,26581646.92219483,18029813.002049193,23312208.931441337,5108292.39478447
2008-08-01,1450857400.3756988,1943399.9936253421,495291.7980123114,424132234.17197406,48964377.07180977,2939968.069050301,90228143.20503022,71742801.11593336,92048893.88543506,2079055.7394465283,34257563.573796086,101818095.44699302,3381161.933483663,27128059.287706412,18324417.461929638,23417918.460209187,5164024.11348072
2008-09-01,1449520250.048878,1960289.7478218442,483642.8122281686,426807476.52815044,48183154.41238835,3007406.5037147515,97977537.65503986,71976094.42539246,92431174.47661541,2119792.417383165,34142262.52281846,99279977.50163853,3475124.6716872375,27623960.011144716,18620552.828022078,23471057.473137304,5237673.793599814
2008-10-01,1451665719.1524885,1986457.8446449547,471322.7372685206,430713871.3134581,47453057.169949025,3082824.276194625,107211369.7826568,72242735.90708356,93028851.8077987,2160044.193888079,34144039.27351326,96838542.76424597,3568269.115824184,28060322.667206902,18907371.273626845,23476620.166974273,5324145.618461529
2008-11-01,1457119130.1839318,2022704.3329227879,457782.865191728,436020812.89555395,46732924.98328582,3170544.6254402315,118279190.9834433,72559063.53185837,93859632.22536814,2201915.025291938,34249366.65048253,94347132.71270786,3665738.575953412,28470942.392291944,19202731.508640427,23439309.09630655,5427279.953249602
2008-12-01,1465224532.0251374,2065786.641069028,444157.70421101345,442298780.06885344,46076409.40722962,3264233.7027425314,130212291.14579828,72903292.45672926,94848725.21548018,2242148.8612723444,34438387.432539366,91981898.40113893,3760223.994208205,28833830.64837398,19486369.52102738,23365677.837833196,5538580.8678187905
2009-01-01,1476204576.0226798,2117632.432,429811.54065,449875272.02688,45447255.525,3369432.83404,143540172.8676,73296933.14876,96039931.50178,2282848.462125,34710057.37971,89601261.33581999,3856958.078922,29177884.27852,19775931.991803,23255149.349320002,5663544.0
2009-02-01,1489508861.0983365,2175965.7757663587,415471.27200974856,458466355.62715286,44875790.441924594,3482440.3797081457,157611011.91313165,73727671.53239176,97380552.42235753,2322069.354409366,35045458.089338414,87301470.42441303,3951692.74796286,29495281.355787467,20060623.232517097,23114016.089028824,5796666.498855504
2009-03-01,1503251849.1378489,2233422.9661546005,402756.83357297245,467020309.4479256,44415633.76615223,3590621.03382366,170731383.55662155,74147382.76031673,98700940.6247051,2355728.44636028,35391516.7873219,85307491.54643747,4034629.7070673574,29763071.09496162,20312497.80681146,22963937.397785265,5922274.673902616
2009-04-01,1520077854.3176312,2301422.5934228864,389201.6620772362,477283990.36810756,43975288.99641234,3716489.6700736005,185461074.93419915,74644644.21522515,100263088.99029484,2390490.0896393484,35809477.59905153,83207280.70987938,4122532.224335989,30043088.15092982,20584334.258242086,22776852.161032833,6065463.698988668
2009-05-01,1537675085.6052697,2370733.1734716487,376860.8000412194,487925027.79178905,43625334.45246313,3843738.9113309924,199670231.634427,75157117.6045534,101854464.28118956,2421082.7256884472,36236024.40851063,81297362.1030728,4202678.215878748,30302003.04463715,20839191.314488243,22578919.08552589,6206357.192360349
2009-06-01,1556898982.9771006,2445030.9206773783,365184.1537181914,499561792.2625182,43349952.61966462,3980147.427797979,214040093.35770795,75717529.69299571,103559019.37441981,2448966.36814119,36685948.044218905,79466511.61261594,4279344.428248264,30561781.061658908,21092796.926155854,22361274.34122798,6352423.6304353895
2009-07-01,1576205176.8414803,2518618.3435229277,355186.0232082285,511356386.9044764,43174101.48163064,4116240.1986867245,227388915.1200221,76288348.25281166,105245591.19642206,2471787.365962349,37117159.268296584,77848263.54674733,4346563.948594577,30810165.387070104,21327580.92787693,22142105.935394935,6492397.269953262
2009-08-01,1596563038.0131946,2595456.779237908,346472.4968663372,524004086.0757637,43093570.41744889,4260385.462841463,240340580.95924476,76906189.726728,107004479.05963407,2490487.62357034,37544759.87023793,76350838.4947944,4407751.758723887,31068419.268559653,21557933.066622403,21911134.34930189,6633685.263741447
2009-09-01,1617012800.1949468,2672146.422895481,339680.46799317707,537026752.5296824,43123515.798153825,4407388.271444136,252165926.27699614,77551024.07035628,108757226.04792377,2503637.422067421,37940211.99327617,75047410.84299657,4459447.795285709,31333070.707688894,21774543.041384887,21679994.185817122,6769610.911219014
2009-10-01,1636582934.5251992,2745306.5137135126,335200.8942092265,549898256.3288331,43264953.92951341,4551687.933775438,262279946.12540734,78199366.37669133,110426161.22602835,2510517.455116347,38279092.51831891,73986324.92533615,4499406.86293039,31599828.87189877,21969859.43374797,21460341.624311678,6894183.847493075
