,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2006-01-01,11172.0,7728.0,9009.0,9974.0,15438.0,23194.0
2006-02-01,11253.416666666666,7706.083333333333,9042.833333333334,10046.083333333334,15575.5,23469.0
2006-03-01,11334.833333333334,7684.166666666667,9076.666666666666,10118.166666666666,15713.0,23744.0
2006-04-01,11416.25,7662.25,9110.5,10190.25,15850.5,24019.0
2006-05-01,11497.666666666666,7640.333333333333,9144.333333333334,10262.333333333334,15988.0,24294.0
2006-06-01,11579.083333333334,7618.416666666667,9178.166666666666,10334.416666666666,16125.5,24569.0
2006-07-01,11660.5,7596.5,9212.0,10406.5,16263.0,24844.0
2006-08-01,11741.916666666666,7574.583333333333,9245.833333333334,10478.583333333334,16400.5,25119.0
2006-09-01,11823.333333333334,7552.666666666667,9279.666666666666,10550.666666666666,16538.0,25394.0
2006-10-01,11904.75,7530.75,9313.5,10622.75,16675.5,25669.0
2006-11-01,11986.166666666666,7508.833333333333,9347.333333333334,10694.833333333334,16813.0,25944.0
2006-12-01,12067.583333333334,7486.916666666667,9381.166666666666,10766.916666666666,16950.5,26219.0
2007-01-01,12149.0,7465.0,9415.0,10839.0,17088.0,26494.0
2007-02-01,12213.25,7504.166666666667,9463.333333333334,10931.916666666666,17161.75,26576.0
2007-03-01,12277.5,7543.333333333333,9511.666666666666,11024.833333333334,17235.5,26658.0
2007-04-01,12341.75,7582.5,9560.0,11117.75,17309.25,26740.0
2007-05-01,12406.0,7621.666666666667,9608.333333333334,11210.666666666666,17383.0,26822.0
2007-06-01,12470.25,7660.833333333333,9656.666666666666,11303.583333333334,17456.75,26904.0
2007-07-01,12534.5,7700.0,9705.0,11396.5,17530.5,26986.0
2007-08-01,12598.75,7739.166666666667,9753.333333333334,11489.416666666666,17604.25,27068.0
2007-09-01,12663.0,7778.333333333333,9801.666666666666,11582.333333333334,17678.0,27150.0
2007-10-01,12727.25,7817.5,9850.0,11675.25,17751.75,27232.0
