,공공기관 및 기업 고위직(11),행정?경영 지원 및 마케팅 관리직(12),전문 서비스 관리직(13),건설·전기 및 생산 관련 관리직(14),판매 및 고객 서비스 관리직(15),과학 전문가 및 관련직(21),정보 통신 전문가 및 기술직(22),공학 전문가 및 기술직(23),보건·사회복지 및 종교 관련직(24),교육 전문가 및 관련직(25),법률 및 행정 전문직(26),경영·금융전문가 및 관련직(27),문화·예술·스포츠 전문가 및 관련직(28),경영 및 회계 관련 사무직(31),금융 사무직(32),법률 및 감사 사무직(33),상담·안내·통계 및 기타 사무직(39),경찰·소방 및 보안 관련 서비스직(41),돌봄·보건 및 개인 생활 서비스직(42),운송 및 여가 서비스직(43),조리 및 음식 서비스직(44),영업직(51),매장 판매 및 상품 대여직(52),통신 및 방문·노점 판매 관련직(53),농축산 숙련직(61),임업 숙련직(62),어업 숙련직(63),식품가공 관련 기능직(71),섬유·의복 및 가죽 관련 기능직(72),목재가구악기 및 간판 관련 기능직(73),금속 성형 관련 기능직(74),운송 및 기계 관련 기능직(75),전기 및 전자 관련 기능직(76),정보 통신 및 방송장비 관련 기능직(77),건설 및 채굴 관련 기능직(78),기타 기능 관련직(79),식품가공 관련 기계 조작직(81),섬유 및 신발 관련 기계 조작직(82),화학 관련 기계 조작직(83),금속 및 비금속 관련 기계 조작직(84),기계 제조 및 관련 기계 조작직(85),전기 및 전자 관련 기계 조작직(86),운전 및 운송 관련직(87),상하수도 및 재활용 처리 관련 기계 조작직(88),목재인쇄 및 기타 기계 조작직(89),건설 및 광업 관련 단순 노무직(91),운송 관련 단순 노무직(92),제조 관련 단순 노무직(93),청소 및 경비 관련 단순 노무직(94),가사·음식 및 판매 관련 단순 노무직(95),농림어업 및 기타 서비스 단순 노무직(99)
2003-01-01,181.63994713569082,4544.564366615313,1877.8657617084566,1666.5316406202376,292.8334528189953,3012.9858896566884,1962.642508698644,1719.083922618007,1625.8118044333983,1731.9868222531618,4034.0066869824873,2402.6129942326875,2084.488367854902,1633.2379413188287,2299.449122392397,2811.2899460977505,1185.1731658387628,1551.2933470172213,1468.698989162151,2273.8500090112766,1483.587883106727,1706.387502815214,2479.436739802449,1856.4175942131087,1504.2808816050476,1680.3646627180376,1861.2160670833948,1332.0644242957721,1009.9909868084875,1973.6155334342905,1461.6687982932428,1515.8514872626001,2281.682181681361,2369.1083242378445,1872.5241786458898,1892.573966483486,113.52985131571646,1149.7617476191933,1728.1388330775335,1544.276487183678,1878.9279948989501,1070.2303843957916,1399.6658669834158,1755.5641789529989,1655.3428922136031,2202.3095440634006,1914.9624248407508,1398.5736524460458,1015.1575965985983,943.757716171164,1005.1990054684196
2003-02-01,268.75750413486315,4559.8771821538585,1907.5404784285893,1689.094524181909,332.99560344146033,3020.69114960282,1974.3095394720024,1733.0860863514008,1631.42968426161,1750.207427480315,4045.757638017256,2413.9631293244656,2087.456045413892,1643.707441853256,2304.5346755201012,2808.718988229973,1191.5951305646327,1557.413934591553,1467.9106586445366,2268.105472694848,1485.8730555143532,1718.53905312134,2464.8424085465845,1857.045379536096,1508.6473698098423,1676.2364587820796,1861.8113274878326,1334.969134104952,1016.1789683325914,1968.1846953794766,1470.739824981448,1530.1673957677347,2276.4976756424853,2370.0214872186093,1873.1559984177693,1890.717182469936,136.0620359832254,1156.4270920984548,1729.4733617791444,1551.491036812943,1880.805210681797,1083.0840877252579,1404.9388097802741,1760.599402420985,1657.26264526153,2192.4579646566503,1914.5560153807035,1397.7972328094345,1017.9866692863596,947.7243422054455,1011.1789409675639
2003-03-01,348.5521805199039,4574.712369795487,1941.5855450855029,1712.2412541261735,369.8231658214024,3026.1091332136752,1993.4242724111334,1745.5470834994353,1638.2107995191293,1767.6719274828176,4065.048343014314,2425.1865423501604,2092.4780112606604,1654.2491456911532,2310.834239907557,2805.316668955148,1198.5642577396195,1564.020881569656,1470.0773212737074,2264.8682151125918,1484.7273730461957,1730.5982336443758,2451.829548128261,1857.7301298899508,1514.0106827151076,1672.1407108237702,1873.4693215859204,1331.7167403928186,1023.1989870806696,1965.0052965474379,1479.6880429921407,1535.710648403143,2272.496510795234,2373.7599111388563,1872.6949896401748,1888.0052743751687,156.31794887967362,1172.031845462304,1742.8025009058085,1565.2953028740255,1883.1200914735257,1096.0264938186817,1410.3705087686099,1766.7836774455868,1659.605324946265,2184.2962221011617,1911.8899634558747,1399.7185036804321,1021.3137519514886,951.6136907033199,1016.7014116151344
2003-04-01,436.45892612099516,4578.009856065118,1977.0450008825417,1732.6444806902007,409.99675292367897,3032.0279627260797,2005.18171829783,1760.0161259710644,1644.100582305299,1786.7771617311737,4083.4792698022834,2434.8142761888153,2097.394247037647,1664.7394429754183,2314.6813138084294,2802.743429968119,1205.1472000533777,1570.8455287211918,1470.87136902015,2260.7915004894962,1486.130743685002,1742.8070160167154,2439.0365621270657,1858.9192995644096,1519.745965056083,1669.908170419828,1868.7180128529194,1337.0354916285917,1028.9942581420478,1959.0575054127419,1488.5902526730408,1548.7841129711082,2269.587007550839,2374.3527206613994,1876.1112185333309,1888.8767066606176,178.7090682879641,1174.7232068209335,1740.7620817784612,1569.6303775065967,1885.0376517846476,1107.2202731184639,1415.8221494958666,1771.864434170132,1662.277298641753,2175.7496641986686,1909.146271694822,1399.6246155604429,1024.2870585785613,955.8715448327274,1021.7932455533403
2003-05-01,521.7468310581659,4586.485691872033,2010.2738243197205,1755.003833832298,449.08033641853876,3037.409715668244,2016.8268379692133,1773.9607988456503,1650.0229378887366,1804.0222597833038,4104.494720618479,2446.670192245439,2102.5405907371955,1675.2424691545002,2318.6741396425205,2800.5072415975587,1211.8478842822567,1578.1312996943223,1471.3491765722174,2248.8891696656547,1488.1920824768113,1753.5144503381791,2426.5721899087775,1860.5754200926726,1525.897443860922,1667.2667204738198,1866.0893457294005,1341.577105107195,1034.8998207230975,1953.637596634522,1497.2014887769956,1560.6442158216878,2266.811712984585,2375.1851626061093,1879.197991478589,1890.8830557255174,200.42981189989018,1178.8743787708524,1740.7448173351684,1575.330459188849,1887.4341664976937,1118.0251056464524,1421.2971630224718,1773.6390631358731,1664.3609451520153,2167.6303047046067,1909.5709869436853,1400.62712727602,1026.7166350557955,960.2045249561448,1026.7216177632088
2003-06-01,609.8209450748889,4594.566742980934,2042.526705214674,1779.3301012666643,489.3267255849826,3042.606913738504,2029.912764913041,1787.1617627559267,1655.4334171017163,1822.3255872703223,4124.0310237607955,2458.706741088403,2107.5960940855284,1685.716198407339,2322.4940924197135,2798.813500433693,1218.430633086387,1585.493144727571,1471.6094788326868,2238.3625912566226,1489.1349822425943,1765.0500796808944,2412.367703466656,1862.205085430555,1531.7005507419804,1663.9751788751194,1864.6410817529381,1344.861030121348,1040.9571780538135,1948.4261317843172,1505.8962820187617,1571.7629414804853,2264.3062240386375,2376.0421458375404,1882.3507095639702,1891.5637065816984,222.93276136994672,1184.7765055682753,1743.4444313693298,1582.304045782743,1889.6469533651043,1128.3523957707926,1427.1226990638993,1774.3800481953692,1665.6743988352544,2158.399315540474,1909.594199667317,1401.3344682403106,1029.9137619747742,964.3313934369797,1031.5786703491326
2003-07-01,695.1420451214706,4602.325288280438,2073.5912020226006,1803.0804112467233,528.3546118206099,3047.4692414562387,2043.6022763839178,1800.6660757054756,1661.1838606587346,1838.9706460667237,4140.850082236228,2470.8057371275095,2112.446132472161,1696.1965015439705,2326.4864885748834,2797.547860122885,1225.1961935180727,1593.1259630513705,1471.5163417916135,2229.262708795396,1489.2415969503832,1776.7013628623934,2399.512127862129,1863.9367401519107,1537.4139444361317,1661.0947857596084,1864.3284354991106,1347.4340776204128,1047.1105977244292,1943.1499547383544,1514.4868058478678,1582.0307149297162,2261.5454683926628,2377.074485455349,1884.835599795764,1892.7498366453037,244.69730183151748,1191.6640077520785,1748.0153916089146,1590.3208986115485,1892.1677340934164,1140.641989578244,1432.210520269686,1777.4554167346214,1668.3619424929407,2150.3955820106403,1909.5717910041674,1403.130653803112,1033.098560500844,968.3238934441813,1036.2999408933604
2003-08-01,782.9090948416878,4607.8838573972525,2104.9547046097887,1828.0249121512174,568.3727664147696,3052.403526391308,2058.4138688755984,1814.6213358930975,1667.0041617310915,1858.324337274225,4156.570047542343,2481.4710644176757,2117.2629827611854,1706.6625244498305,2331.547222370561,2795.0835450198374,1231.8730862771379,1600.7063422898848,1471.8183345963075,2221.4797311100197,1489.2137788044552,1788.700090605707,2386.2088443044,1865.5438610726465,1542.8183744120413,1657.8390391518133,1863.609095112149,1349.227945307242,1053.327922461938,1937.7439610093143,1523.2138370756506,1592.0177977587098,2258.679352268516,2377.9644618242914,1885.0793069505064,1893.2886793041866,267.17060551847953,1198.869850227123,1753.7103456606033,1598.6634951114531,1894.53285526349,1150.8404192389214,1437.339085547357,1780.5460530483128,1670.7078405501652,2141.562307167747,1909.704828457574,1404.988423974263,1036.4553798387597,972.2444462833353,1041.1475087505223
2003-09-01,871.0372349717559,4613.098098723579,2134.656470761656,1852.3841594277692,608.5167383522319,3057.066666323292,2072.8974249501284,1829.0728220580002,1672.959867453067,1877.6592917697067,4173.8127869057735,2491.684414845164,2122.2253404936646,1717.1531905450302,2338.1998700569857,2792.331231807228,1238.5055836351844,1608.2112647954516,1472.5585047177099,2213.82175466103,1488.9267370184073,1801.1916575445641,2373.01725910708,1867.1329222695035,1548.4470628593037,1654.1468188238323,1863.721712504393,1350.6228910996117,1059.504939205063,1932.5235549180795,1531.940601098901,1601.4631182038527,2255.2336426976117,2379.0198068575332,1884.640381656312,1893.3385179637683,289.74812471796446,1206.5640022214989,1760.2832586133982,1607.2803193352565,1897.1616859252515,1161.0848488019844,1442.904983613334,1784.387589601988,1673.3530693204839,2132.6027611285435,1908.535941447531,1407.2181103351793,1040.643652914237,976.2554927861771,1046.1165277237308
2003-10-01,956.2317345946457,4616.719684887913,2164.242718807586,1874.4858340672047,647.3384489358956,3061.611744097198,2087.6049999928587,1844.5193019323958,1678.8007591628993,1897.50536263443,4195.247671161454,2501.724063122609,2127.0914928238813,1727.664988477094,2345.121310419627,2789.6868846042244,1245.32216301413,1615.7951792676467,1473.779035075092,2206.0816726985354,1488.6507318838183,1813.404772168296,2359.9233487453284,1868.705476277076,1554.0618727904857,1650.3017169379784,1864.0375929900213,1352.1773708894202,1065.5906573225816,1927.7937990193093,1540.6043247636753,1609.7364444347086,2251.6761735110804,2380.3148397311093,1885.1749772527319,1896.9893532728313,311.5993780640882,1213.9877798389332,1764.4883845220384,1615.979855828134,1898.4966963699942,1171.1266989753008,1448.4367784373308,1788.6088648403459,1675.3498815327594,2124.184167575235,1903.6585797166126,1406.025734804257,1045.029318075438,980.4011971876773,1051.1821110855974
