Date,Wage
2003-01-01,2275
2003-02-01,2284.079814
2003-03-01,2294.520812
2003-04-01,2308.396203
2003-05-01,2323.978567
2003-06-01,2342.133242
2003-07-01,2361.522895
2003-08-01,2383.266686
2003-09-01,2406.569958
2003-10-01,2430.438459
2003-11-01,2456.289936
2003-12-01,2482.290488
2004-01-01,2510
2004-02-01,2538.389265
2004-03-01,2565.404454
2004-04-01,2594.603012
2004-05-01,2623.010531
2004-06-01,2652.347358
2004-07-01,2680.554732
2004-08-01,2709.33966
2004-09-01,2737.579619
2004-10-01,2764.221842
2004-11-01,2790.868991
2004-12-01,2815.635831
2005-01-01,2840
2005-02-01,2863.018144
2005-03-01,2882.828537
2005-04-01,2903.946816
2005-05-01,2923.83645
2005-06-01,2944.109353
2005-07-01,2963.731304
2005-08-01,2984.296371
2005-09-01,3005.445854
2005-10-01,3026.746253
2005-11-01,3049.903533
2005-12-01,3073.697383
2006-01-01,3100
2006-02-01,3128.237739
2006-03-01,3155.240347
2006-04-01,3186.516149
2006-05-01,3217.88886
2006-06-01,3251.156238
2006-07-01,3283.890813
2006-08-01,3317.981136
2006-09-01,3352.041822
2006-10-01,3384.691279
2006-11-01,3417.812385
2006-12-01,3448.987105
2007-01-01,3480
2007-02-01,3509.567548
2007-03-01,3535.085638
2007-04-01,3562.152786
2007-05-01,3587.290103
2007-06-01,3612.311176
2007-07-01,3635.733617
2007-08-01,3659.256687
2007-09-01,3682.228514
2007-10-01,3704.06778
2007-11-01,3726.368201
2007-12-01,3747.822914
2008-01-01,3770
2008-02-01,3792.274911
2008-03-01,3813.10825
2008-04-01,3835.226187
2008-05-01,3856.337488
2008-06-01,3877.698076
2008-07-01,3897.784832
2008-08-01,3917.785373
2008-09-01,3936.863771
2008-10-01,3954.302123
2008-11-01,3971.111486
2008-12-01,3986.062369
2009-01-01,4000
2009-02-01,4012.317742
2009-03-01,4022.212847
2009-04-01,4032.051836
2009-05-01,4040.700059
2009-06-01,4048.994201
2009-07-01,4056.648168
2009-08-01,4064.432361
2009-09-01,4072.354003
2009-10-01,4080.402725
2009-11-01,4089.375245
2009-12-01,4098.941703
2010-01-01,4110
2010-02-01,4122.452439
2010-03-01,4134.862437
2010-04-01,4149.790374
2010-05-01,4165.327849
2010-06-01,4182.406162
2010-07-01,4199.823427
2010-08-01,4218.636264
2010-09-01,4238.171212
2010-10-01,4257.662386
2010-11-01,4278.304668
2010-12-01,4298.666237
2011-01-01,4320
2011-02-01,4341.540125
2011-03-01,4361.142927
2011-04-01,4382.989234
2011-05-01,4404.254544
2011-06-01,4426.335647
2011-07-01,4447.787954
2011-08-01,4470.020722
2011-09-01,4492.29871
2011-10-01,4513.880885
2011-11-01,4536.185164
2011-12-01,4557.752559
2012-01-01,4580
2012-02-01,4602.203576
2012-03-01,4622.990357
2012-04-01,4645.303044
2012-05-01,4667.060337
2012-06-01,4689.790385
2012-07-01,4712.101073
2012-08-01,4735.557444
2012-09-01,4759.501334
2012-10-01,4783.21218
2012-11-01,4808.348368
2012-12-01,4833.36255
2013-01-01,4860
2013-02-01,4887.487261
2013-03-01,4912.98101
2013-04-01,4941.843462
2013-05-01,4970.312776
2013-06-01,5000.180446
2013-07-01,5029.417618
2013-08-01,5059.866974
2013-09-01,5090.44963
2013-10-01,5120.069641
2013-11-01,5150.595213
2013-12-01,5179.955045
2014-01-01,5210
2014-02-01,5239.685178
2014-03-01,5266.290648
2014-04-01,5295.675344
2014-05-01,5324.196845
2014-06-01,5353.923319
2014-07-01,5383.096534
2014-08-01,5413.828106
2014-09-01,5445.32467
2014-10-01,5476.694948
2014-11-01,5510.197027
2014-12-01,5543.829086
2015-01-01,5580
2015-02-01,5617.693641
2015-03-01,5652.82822
2015-04-01,5692.605363
2015-05-01,5731.654243
2015-06-01,5772.232297
2015-07-01,5811.390557
2015-08-01,5851.39375
2015-09-01,5890.577563
2015-10-01,5927.382556
2015-11-01,5963.916573
2015-12-01,5997.491551
2016-01-01,6030
2016-02-01,6060.146564
2016-03-01,6086.826247
2016-04-01,6114.582119
2016-05-01,6141.531033
2016-06-01,6170.356725
2016-07-01,6200.048667
2016-08-01,6233.473463
2016-09-01,6270.588038
2016-10-01,6310.877055
2016-11-01,6357.91359
2016-12-01,6409.512221
2017-01-01,6470
2017-02-01,6538.361188
2017-03-01,6606.330972
2017-04-01,6687.573187
2017-05-01,6771.296318
2017-06-01,6862.129537
2017-07-01,6953.301006
2017-08-01,7049.936453
2017-09-01,7148.068597
2017-10-01,7243.538595
2017-11-01,7341.758743
2017-12-01,7435.480626
2018-01-01,7530
2018-02-01,7621.322695
2018-03-01,7700.8081
2018-04-01,7785.339243
2018-05-01,7863.523142
2018-06-01,7940.413993
2018-07-01,8010.899791
2018-08-01,8079.521523
2018-09-01,8143.69993
2018-10-01,8201.424463
2018-11-01,8256.385357
2018-12-01,8304.885445
2019-01-01,8350
2019-02-01,8389.959814
2019-03-01,8421.859169
2019-04-01,8452.882051
2019-05-01,8478.952311
2019-06-01,8502.176191
2019-07-01,8521.407848
2019-08-01,8538.297618
2019-09-01,8552.529805
2019-10-01,8564.128862
2019-11-01,8574.236284
2019-12-01,8582.552451
2020-01-01,8590
2020-02-01,8596.656468
2020-03-01,8602.499222
2020-04-01,8608.688248
2020-05-01,8614.966412
2020-06-01,8622.116205
2020-07-01,8630.024726
2020-08-01,8639.583155
2020-09-01,8650.920513
2020-10-01,8663.93813
2020-11-01,8679.867794
2020-12-01,8698.030161
2021-01-01,8720
2021-02-01,8745.476529
2021-03-01,8771.326142
2021-04-01,8802.781639
2021-05-01,8835.757114
2021-06-01,8872.127102
2021-07-01,8909.235177
2021-08-01,8949.231383
2021-09-01,8990.576716
2021-10-01,9031.559494
2021-11-01,9074.588074
2021-12-01,9116.576444
2022-01-01,9160
2022-02-01,9203.167711
2022-03-01,9241.814667
2022-04-01,9284.12115
2022-05-01,9324.481291
2022-06-01,9365.478802
2022-07-01,9404.366297
2022-08-01,9443.629311
2022-09-01,9481.847785
2022-10-01,9517.735351
2022-11-01,9553.577551
2022-12-01,9586.959599
2023-01-01,9620
2023-02-01,9651.453462
2023-03-01,9678.40762
2023-04-01,9706.537158
2023-05-01,9731.945652
2023-06-01,9756.220041
2023-07-01,9777.691847
2023-08-01,9797.685561
2023-09-01,9815.340776
2023-10-01,9830.096393
2023-11-01,9842.829157
2023-12-01,9852.615212
2024-01-01,9860
