시점,전 산 업,농업 임업 및 어업,광 업,제 조 업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물처리 원료재생업,건설업,도소매업,운수 및 창고업,숙박및음식점업,정보통신업,금융 및 보험업,부동산업,전문과학기술서비스업,사업시설관리 사업지원 및 임대 서비스업,교 육 서 비 스 업,예술 스포츠 및 여가관련 서비스업
2006,22575.58882,6300.745283,12125.02381,37509.20348,159612.1053,7216.429448,18245.15415,23086.99358,18209.77643,2441.114185,17131.15386,20559.93434,3088.748494,5633.668328,2330.317086,3306.282051,6772.627049
2007,24858.77072,6367.086022,12183.725,38760.58873,133719.0159,8220.801205,20978.93721,20900.23443,21407.2605,2471.480511,17286.81979,25396.97612,4482.53839,6035.871795,4727.325372,2714.463636,7886.567134
2008,38844.57297,21836.39655,15857.11429,50963.31919,211059.849,8766.061224,34843.88457,25191.6691,32929.52314,2922.09108,20481.60333,58478.17164,5528.107468,10923.92661,5446.602806,3201.99768,9015.675351
2009,34610.44209,21176.32432,15918.94595,50581.88352,181789.0221,10335.68354,44926.50168,24662.49433,29770.59253,3238.082925,18278.07129,40306.46034,6814.413567,13335.41329,6447.972609,3389.963462,8808
2010,36920.70528,28959.47222,13479.75676,61458.2057,178564.6703,15431.34821,63117.45657,27592.75714,37135.90194,3120.354839,20090.2933,33082.46253,8409.729553,14444.76268,6497.577484,2862.232353,11307.95369
2011,40294.80268,34332.81818,18365.58974,71258.7383,228126.5347,20054.64341,62345.07434,31597.17608,41178.69877,3132.37273,19747.94273,34826.71105,8752.340564,16733.68033,6858.279835,2879.692503,12524.60693
2012,40053.84015,46109,18796.95,73008.30103,251028.7713,21182.90667,61757.85403,28081.56264,40481.46769,3708.156564,22145.82478,31732.23882,9333.954733,16182.48718,6927.793142,3447.842835,14628.01664
2013,37582.5603,36039,18919.91304,71227.94082,218718.0563,20737.12805,57664.18735,26125.09081,36242.30677,3576.319683,20687.30355,29109.90946,9131.147115,14138.49351,6002.022748,3682.646127,15137.37112
2014,35808.97613,27400.76744,15147.29032,67151.02486,235828.4787,19076.5446,48827.95313,24686.85347,36878.86039,3318.898989,21234.57193,32627.2984,7275.145161,17220.04132,5387.985888,2607.444186,20274.61514
2015,33275.22481,28300.4,16742.83871,62111.36783,151056.5985,11488.73186,45518.32575,22111.64474,31887.39904,3285.685228,20589.95263,32804.77726,9522.578342,18686.4499,6138.984268,2565.334847,19472.57471
2016,33118.03197,16867.25676,14732.08571,60723.24531,126678.6818,12510.96605,50687.83589,21963.52369,31048.7114,3291.977434,20761.57735,35771.80335,12138.6341,18503.40191,6031.122538,2870.367573,20692.6289
2017,34397.50515,17341,12937.15152,63774.7588,133814.591,12983.47826,51603.91648,24437.33111,28716.20502,3238.887807,22249.81066,36169.43673,12709.46399,17435.04989,6158.723125,2787.256509,21145.38147
2018,34452.38993,15177.47,11627.73171,64840.26784,132519.9682,15138.81734,60773.35,24820.22985,31075.32835,3314.642017,21098.88277,35344.57677,11562.48718,15176.61828,6805.111423,3032.344562,16078.18975
2019,34045.01705,13144.12727,12689.16667,61313.2238,126025.9817,13440.26006,54774.56492,24656.9437,29091.18039,3425.777387,22137.04272,38207.0408,8182.169312,21945.60176,7040.771062,3054.415896,12874.97357
2020,36861.78366,14887.95833,17047.73684,61243.45364,150172.7973,12316.9726,78938.40853,24190.35526,27803.63272,2725.183497,22109.52878,55164.05254,7895.859866,26663.03612,8234.776869,2935.139217,10270.43687
2021,36798.09127,15868.875,14879.82609,60719.1945,173526.8511,14236.07732,59533.91205,25735.47727,40116.70717,3074.786031,23941.85839,49009.11444,5100.306414,28525.91048,7121.559535,3576.770175,10983.34726
2022,47947.05057,16389.06923,18346.17391,80748.49949,285540.8509,13319.33962,53261.78398,31823.86434,46735.37921,3757.874403,30758.74616,77093.79868,6002.305349,22503.37527,7188.934432,4048.491942,16926.97427
