산업별,종사자규모별,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_1,2021,2022
전체 산업,계,3226565,3262921,3264776,3293551,3355459,3470023,3602461,3676859,3812800,3874156,3950169,4019872,4103172,4176549,4325195,6032022,6079702,6139899
전체 산업,1 - 4명,2697592,2711910,2712479,2723973,2804612,2879668,2963367,3005238,3099808,3125589,3173185,3228202,3274152,3322812,3587125,5214101,5251614,5314251
전체 산업,5 - 9명,296992,310171,309809,318882,283153,316658,366257,384596,414513,434111,454806,466829,491200,511446,421489,476422,475472,466249
전체 산업,10 - 19명,127288,133321,131797,135433,142499,148972,146802,155266,161661,168008,176344,178231,186654,187627,170410,185243,192729,196043
전체 산업,20 - 49명,70542,72007,72806,75497,82250,82537,82541,86940,90937,96868,96370,97545,100961,102986,95325,102524,106597,109299
"농업, 임업 및 어업(01~03)",계,2141,2181,2152,2336,2253,2363,2388,2655,3159,3289,3627,3880,4261,4522,5948,12707,12775,13102
"농업, 임업 및 어업(01~03)",1 - 4명,819,745,841,871,869,886,957,979,1260,1298,1597,1787,2115,2355,3573,9467,9117,9597
"농업, 임업 및 어업(01~03)",5 - 9명,451,540,502,568,547,573,572,690,905,931,1007,1058,1099,1103,1241,1873,2180,2058
"농업, 임업 및 어업(01~03)",10 - 19명,444,443,428,504,460,479,459,529,517,531,542,554,556,567,625,784,909,886
"농업, 임업 및 어업(01~03)",20 - 49명,326,339,288,300,282,326,311,363,386,418,367,363,381,375,388,455,459,451
광업(05~08),계,1734,1746,1723,1817,1752,1781,1836,1881,2002,2006,2012,2001,1916,1776,1654,2205,2104,1936
광업(05~08),1 - 4명,1122,1147,1138,1185,1193,1209,1227,1286,1358,1373,1397,1387,1336,1196,1084,1581,1524,1406
광업(05~08),5 - 9명,240,224,207,254,179,217,239,235,301,277,256,266,255,205,230,279,230,188
광업(05~08),10 - 19명,191,201,208,212,205,203,216,189,174,176,171,166,137,185,165,170,167,169
광업(05~08),20 - 49명,150,144,137,139,150,125,126,145,145,149,158,156,161,160,149,149,152,146
제조업(10~34),계,335288,335402,327982,328565,336908,351346,371906,382575,409232,428643,430948,433684,437024,440766,453257,579645,579050,586532
제조업(10~34),1 - 4명,216804,213884,212477,211366,221869,228504,239809,245173,261271,275818,275391,275223,276695,277958,306409,419338,426107,433780
제조업(10~34),5 - 9명,59374,60832,57250,59163,52725,59617,68226,71482,78846,82843,87151,89041,91203,92913,77438,89817,79962,75896
제조업(10~34),10 - 19명,31107,32495,30755,30167,31996,31839,32180,32625,34194,34729,32669,34512,33700,34026,35443,36121,38477,41714
제조업(10~34),20 - 49명,19475,19662,18720,19037,20778,21385,21662,22760,24050,24125,24580,23903,24585,25095,23710,24050,24153,24781
"전기, 가스, 증기 및 공기조절 공급업(35)",계,894,880,860,910,951,985,1067,1121,1302,1393,1584,1829,2343,3119,4449,74092,88513,91286
"전기, 가스, 증기 및 공기조절 공급업(35)",1 - 4명,167,171,161,270,313,324,390,409,499,598,769,999,1453,2168,3541,73088,87490,90324
"전기, 가스, 증기 및 공기조절 공급업(35)",5 - 9명,175,191,200,149,154,161,180,182,232,198,218,209,271,279,271,346,347,288
"전기, 가스, 증기 및 공기조절 공급업(35)",10 - 19명,117,100,72,59,49,62,60,65,86,89,100,106,103,134,117,129,146,129
"전기, 가스, 증기 및 공기조절 공급업(35)",20 - 49명,183,166,170,183,187,194,206,214,228,231,221,239,227,227,210,218,206,211
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,5216,5450,5495,5683,5996,6520,7089,7565,8366,8525,8521,8533,8972,9423,9627,13097,13296,13756
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1 - 4명,1941,1991,2043,2089,2335,2664,3163,3311,3813,3927,3939,3994,4156,4471,4767,7663,7787,8268
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5 - 9명,1251,1321,1336,1431,1352,1493,1603,1688,1944,1955,1919,1839,2007,1982,1993,2350,2301,2217
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",10 - 19명,952,1002,990,1001,1080,1126,1073,1245,1241,1217,1237,1260,1308,1383,1308,1440,1489,1482
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",20 - 49명,806,842,829,861,930,937,942,997,1031,1080,1072,1101,1130,1200,1138,1198,1260,1330
건설업(41~42),계,94297,97535,97198,97391,98859,106059,111181,118767,129667,133797,137220,138478,142840,146293,158401,471217,485078,494228
건설업(41~42),1 - 4명,54860,56351,55100,56321,57576,61775,68529,72975,79784,80451,75540,77230,78121,73904,105323,400511,411858,427086
건설업(41~42),5 - 9명,20475,21217,21164,20642,17396,22203,22554,25135,27977,28210,31600,31434,33435,40652,28709,39848,42352,37808
건설업(41~42),10 - 19명,11525,12473,12157,11874,12163,12906,11390,12502,13215,14053,19528,19192,19689,20326,13650,17543,18152,16818
건설업(41~42),20 - 49명,5436,5524,6554,6236,8125,6239,5827,5626,6105,7648,7184,7351,8149,8024,7025,8744,8845,8728
도매 및 소매업(45~47),계,860547,864543,856901,858619,873632,901399,939357,957058,993971,1015117,1017340,1022739,1027109,1028323,1064434,1567298,1536229,1519505
도매 및 소매업(45~47),1 - 4명,775306,775434,767639,765578,786570,808705,838195,849228,879597,894582,894254,897145,893541,892382,947733,1437821,1404426,1393329
도매 및 소매업(45~47),5 - 9명,56622,59355,59975,62517,55478,60271,68935,72693,78329,82710,84859,88078,93259,94813,80003,89646,92195,87414
도매 및 소매업(45~47),10 - 19명,18447,19237,18776,19594,20379,21300,20940,22934,23539,24520,24985,24506,26692,26949,24336,26602,26528,25710
도매 및 소매업(45~47),20 - 49명,7738,7980,7822,8104,8440,8529,8546,9360,9588,10102,10027,9814,10394,10928,9273,9994,9997,10010
운수 및 창고업(49~52),계,340013,338825,340550,343986,347289,354142,364349,371628,379044,379388,385968,386919,400282,409288,420889,593274,616484,644407
운수 및 창고업(49~52),1 - 4명,322928,321244,322813,325611,329489,335682,344938,351581,357557,357537,362558,363398,375916,385367,400728,570113,592063,621267
