날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2007-01-01,15943663.0,32622.0,16918.0,3259932.0,51545.0,79657.0,853524.0,2547330.0,885737.0,1718029.0,416971.0,641552.0,393408.0,627291.0,692982.0,558755.0,1299080.0,807217.0,297061.0,764052.0
2007-02-01,15972376.583333334,32294.083333333332,16942.75,3258927.75,51647.5,79740.91666666667,856156.6666666666,2547886.9166666665,889399.25,1718359.0833333333,417838.5833333333,644107.8333333334,394278.3333333333,632645.3333333334,694976.5833333334,560031.5833333334,1300597.0833333333,814206.6666666666,298335.75,764003.9166666666
2007-03-01,16001090.166666666,31966.166666666668,16967.5,3257923.5,51750.0,79824.83333333333,858789.3333333334,2548443.8333333335,893061.5,1718689.1666666667,418706.1666666667,646663.6666666666,395148.6666666667,637999.6666666666,696971.1666666666,561308.1666666666,1302114.1666666667,821196.3333333334,299610.5,763955.8333333334
2007-04-01,16029803.75,31638.25,16992.25,3256919.25,51852.5,79908.75,861422.0,2549000.75,896723.75,1719019.25,419573.75,649219.5,396019.0,643354.0,698965.75,562584.75,1303631.25,828186.0,300885.25,763907.75
2007-05-01,16058517.333333334,31310.333333333332,17017.0,3255915.0,51955.0,79992.66666666667,864054.6666666666,2549557.6666666665,900386.0,1719349.3333333333,420441.3333333333,651775.3333333334,396889.3333333333,648708.3333333334,700960.3333333334,563861.3333333334,1305148.3333333333,835175.6666666666,302160.0,763859.6666666666
2007-06-01,16087230.916666666,30982.416666666668,17041.75,3254910.75,52057.5,80076.58333333333,866687.3333333334,2550114.5833333335,904048.25,1719679.4166666667,421308.9166666667,654331.1666666666,397759.6666666667,654062.6666666666,702954.9166666666,565137.9166666666,1306665.4166666667,842165.3333333334,303434.75,763811.5833333334
2007-07-01,16115944.5,30654.5,17066.5,3253906.5,52160.0,80160.5,869320.0,2550671.5,907710.5,1720009.5,422176.5,656887.0,398630.0,659417.0,704949.5,566414.5,1308182.5,849155.0,304709.5,763763.5
2007-08-01,16144658.083333334,30326.583333333332,17091.25,3252902.25,52262.5,80244.41666666667,871952.6666666666,2551228.4166666665,911372.75,1720339.5833333333,423044.0833333333,659442.8333333334,399500.3333333333,664771.3333333334,706944.0833333334,567691.0833333334,1309699.5833333333,856144.6666666666,305984.25,763715.4166666666
2007-09-01,16173371.666666666,29998.666666666668,17116.0,3251898.0,52365.0,80328.33333333333,874585.3333333334,2551785.3333333335,915035.0,1720669.6666666667,423911.6666666667,661998.6666666666,400370.6666666667,670125.6666666666,708938.6666666666,568967.6666666666,1311216.6666666667,863134.3333333334,307259.0,763667.3333333334
2007-10-01,16202085.25,29670.75,17140.75,3250893.75,52467.5,80412.25,877218.0,2552342.25,918697.25,1720999.75,424779.25,664554.5,401241.0,675480.0,710933.25,570244.25,1312733.75,870124.0,308533.75,763619.25
2007-11-01,16230798.833333334,29342.833333333332,17165.5,3249889.5,52570.0,80496.16666666667,879850.6666666666,2552899.1666666665,922359.5,1721329.8333333333,425646.8333333333,667110.3333333334,402111.3333333333,680834.3333333334,712927.8333333334,571520.8333333334,1314250.8333333333,877113.6666666666,309808.5,763571.1666666666
2007-12-01,16259512.416666666,29014.916666666668,17190.25,3248885.25,52672.5,80580.08333333333,882483.3333333334,2553456.0833333335,926021.75,1721659.9166666667,426514.4166666667,669666.1666666666,402981.6666666667,686188.6666666666,714922.4166666666,572797.4166666666,1315767.9166666667,884103.3333333334,311083.25,763523.0833333334
2008-01-01,16288226.0,28687.0,17215.0,3247881.0,52775.0,80664.0,885116.0,2554013.0,929684.0,1721990.0,427382.0,672222.0,403852.0,691543.0,716917.0,574074.0,1317285.0,891093.0,312358.0,763475.0
