,011,011_구직,011_채용,012,012_구직,012_채용,013,013_구직,013_채용,015,015_구직,015_채용,016,016_구직,016_채용,022,022_구직,022_채용,023,023_구직,023_채용,024,024_구직,024_채용,025,025_구직,025_채용,026,026_구직,026_채용,027,027_구직,027_채용,028,028_구직,028_채용,029,029_구직,029_채용,031,031_구직,031_채용,032,032_구직,032_채용,033,033_구직,033_채용,110,110_구직,110_채용,121,121_구직,121_채용,122,122_구직,122_채용,131,131_구직,131_채용,132,132_구직,132_채용,133,133_구직,133_채용,134,134_구직,134_채용,135,135_구직,135_채용,136,136_구직,136_채용,140,140_구직,140_채용,151,151_구직,151_채용,152,152_구직,152_채용,153,153_구직,153_채용,154,154_구직,154_채용,155,155_구직,155_채용,156,156_구직,156_채용,157,157_구직,157_채용,158,158_구직,158_채용,159,159_구직,159_채용,211,211_구직,211_채용,212,212_구직,212_채용,213,213_구직,213_채용,214,214_구직,214_채용,215,215_구직,215_채용,221,221_구직,221_채용,222,222_구직,222_채용,231,231_구직,231_채용,232,232_구직,232_채용,301,301_구직,301_채용,303,303_구직,303_채용,304,304_구직,304_채용,305,305_구직,305_채용,306,306_구직,306_채용,307,307_구직,307_채용,411,411_구직,411_채용,412,412_구직,412_채용,413,413_구직,413_채용,414,414_구직,414_채용,415,415_구직,415_채용,416,416_구직,416_채용,420,420_구직,420_채용,511,511_구직,511_채용,512,512_구직,512_채용,521,521_구직,521_채용,523,523_구직,523_채용,524,524_구직,524_채용,531,531_구직,531_채용,532,532_구직,532_채용,541,541_구직,541_채용,542,542_구직,542_채용,550,550_구직,550_채용,561,561_구직,561_채용,562,562_구직,562_채용,612,612_구직,612_채용,613,613_구직,613_채용,615,615_구직,615_채용,616,616_구직,616_채용,617,617_구직,617_채용,621,621_구직,621_채용,622,622_구직,622_채용,623,623_구직,623_채용,624,624_구직,624_채용,701,701_구직,701_채용,702,702_구직,702_채용,703,703_구직,703_채용,704,704_구직,704_채용,705,705_구직,705_채용,706,706_구직,706_채용,811,811_구직,811_채용,812,812_구직,812_채용,813,813_구직,813_채용,814,814_구직,814_채용,815,815_구직,815_채용,816,816_구직,816_채용,817,817_구직,817_채용,821,821_구직,821_채용,822,822_구직,822_채용,823,823_구직,823_채용,824,824_구직,824_채용,825,825_구직,825_채용,826,826_구직,826_채용,831,831_구직,831_채용,832,832_구직,832_채용,833,833_구직,833_채용,834,834_구직,834_채용,835,835_구직,835_채용,836,836_구직,836_채용,841,841_구직,841_채용,842,842_구직,842_채용,851,851_구직,851_채용,852,852_구직,852_채용,853,853_구직,853_채용,861,861_구직,861_채용,862,862_구직,862_채용,864,864_구직,864_채용,871,871_구직,871_채용,872,872_구직,872_채용,873,873_구직,873_채용,881,881_구직,881_채용,882,882_구직,882_채용,883,883_구직,883_채용,885,885_구직,885_채용,890,890_구직,890_채용,901,901_구직,901_채용,전직종,전직종_구직,전직종_채용
2008.1/2,6586,153,143,47852,328,322,65474,769,702,21328,629,563,40855,980,860,12839,594,304,15110,503,144,13344,1141,769,673790,27157,23378,673790,27157,23378,315295,17979,15042,416670,17705,13856,238169,26450,23354,36908,1436,1264,258412,8929,8257,449767,24969,17694,7414,573,533,19501,1396,1293,19501,1396,1293,21260,2153,1891,21762,1173,845,98517,11941,8489,75950,7332,5986,21762,1173,845,62487,3509,2943,223791,18851,15929,96215,5984,4602,11688,584,367,115077,6633,5225,24832,1309,1122,44471,1834,1447,2504,183,139,4826,578,543,31884,1086,854,116897,15078,10005,121346,15782,15415,78255,5947,5893,23074,5001,4894,99656,13255,11761,91013,8089,7986,5402,171,169,14440,649,592,21567,1814,1677,78530,15938,15522,46885,6766,6325,7565,1056,955,119368,14492,11220,14760,1327,1256,169768,19189,15607,121704,11923,10990,7123,826,764,14529,386,344,4130,344,330,9924,332,314,85013,13992,9151,19888,1189,1107,22336,1644,1496,14340,2071,1336,4132,313,250,12369,1232,1066,7137,515,382,2316,339,328,90335,8438,6701,143912,24627,19036,23847,2675,2324,165851,15611,15176,154157,24064,22983,162712,16332,15657,37436,2423,2174,425371,22970,17045,148414,18259,16099,207371,27354,24201,54706,8067,6023,58957,9095,8102,21058,956,858,322823,39264,24722,33322,2107,1954,63858,5598,4654,66897,4477,3912,61241,4001,3353,12801,1361,1061,21091,1397,1346,7992,517,355,68256,16259,15891,92402,4728,3309,67411,5105,3900,130327,11780,8064,18781,1535,1119,9704,454,182,68873,3189,2418,186648,8216,6778,83775,3466,2757,25225,1766,1298,28049,1498,791,71465,6640,4806,41654,3266,2582,40478,3563,2115,43347,4060,3259,46418,5661,4418,15375,163,153,79980,4317,3755,89901,7240,5675,171271,15169,12326,46418,5661,4418,62487,3509,2943,22369,317,248,132978,11245,7125,11358,612,546,47747,2607,2150,48728,2438,1677,15702,498,392,8193,867,612,32675,2619,2203,50157,2163,1689,30849,1307,948,38115,1226,990,23384,1421,1159,40959,2526,1970,147677,16510,12334,9215,1123,1110,7768188,625301,511602
2008.2/2,5983,57,59,49170,231,227,65403,290,286,22410,244,203,43898,423,282,8607,251,253,9270,263,217,14633,460,371,691228,15519,13883,691228,15519,13883,329000,11443,8602,421677,13577,10695,229966,15461,12939,28322,1096,1065,281420,7777,7039,535273,22986,16443,12414,529,490,20065,601,542,20065,601,542,19816,814,623,21711,831,765,108485,8826,6240,79115,4264,3976,21711,831,765,60878,2344,1938,213442,14938,12006,82478,3475,2221,11755,343,362,128472,5135,3844,32463,1851,1385,47609,1857,1498,3274,81,53,4615,155,95,32198,1077,932,128039,12237,7673,125645,9604,9082,102811,1815,1972,27744,599,467,107186,7586,6072,116010,2784,2949,4374,147,146,16662,462,322,23646,1277,1223,84602,5690,5453,47941,1081,924,7857,332,285,122120,10288,7975,15715,614,640,172543,12767,10090,125728,9315,8486,9797,396,350,12795,296,262,4780,104,113,6039,499,442,95841,11160,6741,16930,719,618,20760,840,756,12981,1395,937,4463,353,262,8427,208,201,6994,549,440,2025,191,184,71301,3292,2641,133177,15774,11675,24933,2253,1947,149989,14391,13732,162542,13047,12167,189742,10640,10061,43275,3505,3132,492410,20885,15550,131136,16730,13686,179542,27081,22838,58380,4308,3563,48406,10351,9152,23300,505,524,334308,31452,18342,38658,1298,1303,75459,3841,3581,51291,5034,4201,56284,3184,2939,22487,1366,1236,17791,697,684,6524,638,705,69370,9290,8933,89212,3910,3265,68732,4598,3520,141505,6720,4709,34093,1533,1159,7868,324,298,72092,3970,2599,194200,7875,5452,72235,3304,2421,28522,951,647,25206,1787,1309,64125,4372,2937,43229,2011,1146,46430,2154,1265,50094,4095,2796,40609,1542,1017,14342,242,219,84550,3946,3335,108039,3632,2818,184618,13989,10933,40609,1542,1017,60878,2344,1938,20390,731,362,143657,8118,5426,11417,295,230,48714,4925,4030,38646,1641,1050,14692,251,343,7940,721,472,38750,3175,2423,42147,2605,2185,29618,1822,1371,36778,2448,1820,22437,1984,1161,36592,2541,1470,133047,9302,7392,8381,198,191,7959995,442562,349357
2009.1/2,7181,102,94,49865,294,274,67183,395,370,20401,387,260,32586,447,203,16617,433,358,13610,154,32,15196,749,466,692456,16674,14786,692456,16674,14786,321135,12047,9412,415047,9824,7547,266558,20584,18242,27621,308,273,259881,8560,7746,450457,16513,12472,7439,943,846,22559,1389,1333,22559,1389,1333,31013,1254,1041,17121,512,362,116153,8932,6478,94020,3870,2740,17121,512,362,66244,2410,1962,218384,14181,11242,101989,4250,2726,13472,523,443,119943,6780,5942,29575,1477,1181,55495,2026,1730,2936,121,95,5193,374,302,38515,1138,1064,115506,6335,4500,130535,18611,18197,77816,5708,5536,24168,4001,3979,104548,9463,8429,89928,7430,7258,6752,149,140,16019,716,655,33566,3015,2522,89475,13725,13005,47499,5364,5076,7978,611,561,122882,10663,8845,15258,1097,1064,176505,13670,11633,146550,11291,9999,11572,733,721,16619,242,218,4816,241,238,5612,265,223,76991,5197,3436,20766,880,783,25707,1658,1581,14331,1097,777,4920,312,291,10912,537,499,7900,293,240,3542,192,190,84407,3571,3122,162805,18675,16054,21419,1020,945,167054,11798,11349,187206,22281,20458,177200,10392,9974,35507,2766,2625,407544,14205,10763,155664,14025,9785,206208,17784,13158,64304,2792,2595,50544,3759,3373,23078,889,804,345487,28119,16842,34743,864,678,81646,3375,2902,54514,3434,3154,79262,2034,1698,25081,1431,1239,17743,633,507,8225,220,192,77933,7973,7812,87370,2732,2269,62741,1246,990,139077,6465,4053,26419,684,658,8073,112,34,69651,1682,1022,213037,3879,2570,69630,1375,915,25925,987,689,19752,839,670,73049,2979,2187,43900,2727,1867,42551,1643,1170,51053,3442,3050,41716,1707,1164,14469,123,123,83064,2121,1970,100138,2802,2246,147611,8376,6386,41716,1707,1164,66244,2410,1962,23607,405,360,132234,11354,7154,12211,503,179,40281,1255,922,42006,1886,709,15378,367,332,10663,691,475,38878,2485,1808,37025,1447,1102,28778,1365,1185,31932,1629,1219,17549,1175,978,37925,1596,1446,178447,9599,7746,9662,848,775,8048203,424897,348387
2009.2/2,7899,96,96,49580,247,232,65800,412,397,26632,362,304,35665,567,351,10787,322,297,12978,489,283,17062,574,562,689046,15123,13658,689046,15123,13658,326722,12238,10264,397606,13560,10817,279261,21230,18667,29410,1081,1014,265060,10493,9873,456985,20393,16046,7317,471,436,19250,896,867,19250,896,867,30052,1183,855,19583,1061,606,110789,7113,5121,96957,4938,3786,19583,1061,606,66217,2802,2146,251395,13984,12170,98994,4432,3255,14155,352,312,113965,5118,3599,30456,1088,848,66419,2301,1903,2835,121,115,6668,268,228,46688,1540,1319,126499,7253,5759,120278,17708,17548,85715,2906,2885,29311,472,472,113138,6620,5470,96616,3727,3605,6957,654,639,18211,608,602,36359,1742,1598,92816,5412,4639,46256,941,783,8242,455,414,125895,7739,5929,14160,493,427,182864,10236,8191,154306,11445,10014,7407,380,342,16879,422,384,4740,123,117,6062,362,320,79811,5713,4440,19262,864,773,24123,1276,1202,17755,1851,1418,3752,213,200,12379,625,533,9008,1067,847,7747,264,225,80955,4133,3475,154482,20780,17028,25489,2267,2084,166146,11426,10710,197892,15244,13147,187080,10783,10230,39365,3748,3361,417103,17820,13758,157229,14616,12542,214186,18635,15898,63494,4285,3739,56957,4019,3356,17240,315,280,347439,27012,17197,37817,779,694,79880,5809,5299,62130,4754,3583,63595,3051,2788,26617,2415,2314,18393,608,542,6682,790,778,65603,17758,17212,90524,3846,2821,60709,2225,1687,137517,7665,5468,26817,1085,1026,4503,151,142,76480,4733,2730,208257,9318,6445,73970,3119,2345,23264,1229,980,19276,1101,704,71166,3447,2330,43376,2741,1817,43823,2577,1575,47227,3503,3335,34125,1240,1070,14666,684,667,83653,3178,3005,97627,7049,6016,136039,12035,9807,34125,1240,1070,66217,2802,2146,23828,476,446,128901,8786,5682,13703,587,314,42682,2066,1492,44987,1760,1424,11285,755,699,10329,664,561,43271,4637,3288,35798,1984,1710,34821,2221,1827,36303,2590,1866,17073,1606,908,39563,2173,1541,205720,20152,15801,11832,657,586,8128516,465248,383229
2010.1/2,8293,125,120,52419,521,468,72597,693,619,26215,837,757,41738,824,682,17160,896,842,14105,214,197,22203,1841,1537,795417,23808,20891,795417,23808,20891,365722,16105,13059,438571,18003,14160,304598,30999,27164,41926,3701,3483,288835,12590,11668,512360,26326,20263,7922,536,456,21921,1290,1208,21921,1290,1208,26094,1145,868,23111,1283,1076,129144,10879,7503,104517,6097,5035,23111,1283,1076,59206,5508,4860,278948,17412,14818,111889,5800,4204,16721,772,563,136111,7622,5937,36531,2741,2438,65089,2945,2354,4659,674,459,5210,430,359,43930,1627,1284,136549,10353,8432,124935,27381,27232,89345,6767,6734,28739,4454,4254,110298,10758,9644,101989,8676,8599,8212,518,512,22337,1083,977,37488,4045,3654,107013,18692,17705,56246,7627,7146,9536,1006,780,143623,14916,11532,17714,1652,1616,213363,20427,16734,197486,19322,17698,11178,645,611,13300,782,652,5804,209,202,6789,622,568,92619,8726,7148,24755,1762,1247,34847,1881,1684,20770,3073,2094,11593,1454,1047,13410,1065,626,9162,852,697,4694,302,215,94164,6566,5612,181472,21371,17336,29901,2205,2035,162626,11919,11465,248447,34222,31674,199645,14248,12718,42975,2516,2268,476904,23290,17912,170049,19146,16110,249030,28088,23935,70169,5556,4825,78981,8942,7825,18986,545,500,377736,35223,22820,49398,1627,1504,69133,5387,4583,63638,9127,8580,62522,6161,5214,28472,1829,1661,19041,1804,1542,7772,226,211,61919,16170,15685,103924,4771,3020,74762,3038,2442,158335,14524,9599,29313,951,907,6306,251,173,66746,5195,3616,195690,10441,7565,77142,4521,3262,22648,1633,1031,28794,1704,889,86082,7805,5464,40890,3891,2504,41300,2745,1552,75284,6932,6243,48834,3020,2188,14375,101,98,83030,3808,3466,102369,12048,7564,166020,20582,15040,48834,3020,2188,59206,5508,4860,27007,840,531,135658,9655,6850,13220,600,418,46219,3988,1889,36673,2359,1157,16114,1103,881,8519,654,646,37357,3241,2310,44439,3279,2165,26302,1681,1023,33641,1870,1272,18079,1028,673,44610,2382,1862,178042,18802,13696,9955,1684,1645,8931370,662167,541637
2010.2/2,5984,58,58,44157,412,403,63423,614,598,20998,235,208,35077,451,367,8507,526,53,11728,190,108,19433,1285,1145,887155,20671,17270,887155,20671,17270,375441,13920,11257,460432,17191,14213,325042,25081,22175,44117,1164,1145,267030,9224,8598,522484,23482,18477,8114,731,627,23738,2722,2089,23738,2722,2089,21033,791,671,24219,738,595,127494,8761,6287,118549,5046,3971,24219,738,595,68351,4284,3373,283306,12284,10533,115833,5811,4634,15796,568,505,139721,7382,5647,35990,1496,1233,68199,1980,1712,4350,339,308,5239,266,193,48531,1384,1200,154733,10027,7351,130725,29840,29707,94080,1794,1794,26241,681,575,112919,8818,7533,106229,3067,3039,8697,204,171,24489,632,552,39612,2934,2724,118628,7226,6119,55788,1262,1069,9602,717,558,146742,11899,8290,18855,1164,1109,218743,15163,11089,203646,16359,13544,11677,635,568,12702,415,340,5209,117,110,8136,274,191,106202,8643,6151,23717,1570,1203,31935,1446,1303,20202,3166,2112,8630,485,431,24147,1269,786,7909,918,838,3770,423,379,95067,7356,5941,181840,32463,26883,29610,1934,1740,175394,12367,11716,263220,21211,17490,193575,12314,10922,39815,2642,2455,488064,21373,16423,178485,16351,13498,242346,25013,21222,73054,6792,5901,63861,8662,7724,20681,657,650,370883,33031,21988,51116,1448,1040,68165,5599,4268,90363,9850,9261,73857,5678,4746,29923,2392,2064,19796,1514,1395,8377,447,408,56875,18533,18264,112546,4685,3702,78855,3806,2838,166644,15809,9854,33129,1783,1590,6873,342,306,72248,7622,5081,198401,13604,9755,80876,4877,3110,27791,1902,1177,29551,2787,1934,81549,6120,4223,41724,3552,2513,42231,2584,1587,82323,7344,6477,41313,2719,2076,14830,256,165,90083,4607,4201,109698,9210,7712,169395,19860,16806,41313,2719,2076,68351,4284,3373,27648,1025,684,141629,10367,7229,14752,404,255,48646,4704,3315,34628,2086,1500,13245,645,557,9740,1749,1548,35317,3936,3050,46386,2701,1897,25858,1991,1609,32053,1995,1201,16823,931,505,34278,2136,1563,204990,24972,17302,9907,641,583,9196034,610216,494828
2011.1/2,8724,134,125,43041,436,361,64651,650,545,26529,590,536,42472,731,535,9477,467,447,21355,322,322,12880,1028,663,873900,28108,23855,873900,28108,23855,362015,15223,12266,469671,19670,15107,328520,29039,26162,52877,1708,1486,282333,10051,8293,502830,25390,18973,9617,657,638,16410,1577,1093,16410,1577,1093,28717,1118,807,17578,1058,957,117767,9738,6626,110198,6641,4994,17578,1058,957,66051,4946,4292,250511,14699,12336,121155,6622,4908,17927,916,694,133062,8266,6227,40641,2671,2153,57753,3289,3036,2549,56,39,7557,317,255,40798,2357,2247,136532,10333,8250,125365,21731,21644,103574,10611,10465,29936,3789,3748,119761,9686,8858,117179,13520,13391,10446,306,290,23633,981,908,39073,4057,3746,145143,17636,17155,57375,5542,5118,11235,1055,898,160512,16394,12541,18595,1516,1399,233372,22847,18889,237276,20386,17640,11047,674,636,18049,1155,616,4029,520,526,7453,497,392,95734,7976,6003,24015,1195,966,35075,2463,1805,20422,2284,1998,7081,459,373,17004,1476,1383,5991,276,208,3810,169,186,109384,7878,6731,184623,23504,19369,27984,2026,1574,187157,13419,12919,319640,33065,29947,212061,17010,15321,38286,2665,1895,469456,24502,18098,189947,13971,11727,254910,18787,15910,74273,5793,4698,64963,4816,4183,21484,461,436,386419,31711,20498,38602,1119,929,84497,4424,2803,105401,7760,6685,94480,5261,4240,27703,6740,6566,15827,579,531,7271,253,270,105400,6025,6778,100516,6256,4624,71242,3527,2556,163344,13928,8441,30035,1554,1490,12731,491,345,81593,6906,5066,209481,12478,9286,85467,5419,3506,29436,2226,1303,30314,2214,1147,84691,6013,3586,47267,2815,2097,40829,2113,1800,68814,6753,5604,46289,2878,2286,12329,367,192,75373,4089,3802,108521,7623,5837,167864,13304,10148,46289,2878,2286,66051,4946,4292,27626,1231,832,127703,8550,4851,15518,613,474,51245,3013,1751,38343,2768,1372,16272,1116,693,16794,1636,1253,45609,2838,1588,42305,2197,1621,26530,769,654,34733,1929,1056,17113,1763,794,33969,1786,1222,306475,33064,22550,13504,1157,987,9503816,636002,511805
2011.2/2,8479,73,73,45959,309,290,66751,571,503,24151,434,313,46591,863,637,13541,1446,1249,23102,1686,1677,17314,1618,1278,926781,26399,21955,926781,26399,21955,387789,17116,13381,490013,19650,14775,331946,36311,31700,49371,983,911,289913,11445,10102,515394,27006,20101,9157,207,201,27676,1327,1077,27676,1327,1077,29151,2749,2224,18442,996,830,117740,10285,6362,115029,7464,5551,18442,996,830,70406,3660,2672,296468,14275,12219,125309,5371,4083,17728,591,452,161438,5994,4530,36921,2078,1472,62347,2828,2274,2682,158,116,9016,433,238,44265,1909,1531,138803,10248,7671,129005,21309,21206,96256,1852,1820,34611,663,630,109056,6188,4969,114532,3409,3365,9850,302,225,22941,660,518,43645,2647,2159,142933,6462,5566,57517,1467,1196,11870,764,616,160083,12850,8847,19002,1112,796,235956,17305,12418,236390,17651,14303,12509,432,414,19782,1292,1118,4959,213,202,8012,634,413,94538,8339,6140,22642,1439,1203,34088,2674,2353,20113,1870,1460,6609,487,424,17257,1261,998,6419,551,412,3053,277,259,113304,6873,5499,184920,35867,28809,28912,3094,2605,178900,14359,13312,316344,21335,17655,208676,16947,15436,40267,5468,4821,485404,23533,16774,193190,20738,17151,258952,28030,23346,76407,6417,5024,65762,7292,6195,24908,495,436,369444,34276,19673,44583,1280,995,68226,5607,4621,102364,11175,10033,93091,5383,4267,28195,8589,8222,17762,539,461,6415,187,148,86312,22684,22035,105621,4550,3099,77638,3416,2686,181434,13215,8548,29733,1462,1255,9723,384,307,74675,5553,3523,209963,10781,7961,72760,3446,2070,25579,1650,993,29792,1944,1257,90145,8271,5680,51672,2796,1867,39390,2324,1647,74024,4083,3624,46597,3098,2319,14928,344,304,81218,3711,3146,119251,8602,6574,166792,16747,11959,46597,3098,2319,70406,3660,2672,29314,781,550,141137,9987,6774,17603,562,445,50664,3154,1641,32791,1732,1325,13058,1097,554,15625,1984,1738,44311,3654,2733,43241,2455,1785,26437,1214,900,34236,2263,1472,18312,1438,560,48709,2950,2001,272421,27436,18892,14160,1152,1091,9715637,649951,513402
2012.1/2,5816,102,99,42742,482,450,61263,786,737,22453,401,360,42960,784,697,13619,1487,977,21143,752,736,20866,1238,995,893956,26385,24275,893956,26385,24275,381717,17690,15097,491897,19481,16547,345011,31434,29171,53031,815,792,299691,10251,9657,526510,22222,17540,6225,408,388,22377,1450,1288,22377,1450,1288,25877,1302,1126,21834,984,862,125924,9355,6016,106748,5973,4413,21834,984,862,75271,4216,3887,257483,12147,11023,124625,5926,5030,21311,1039,932,156947,6704,6007,42200,2354,1926,69904,3579,2832,3036,105,90,10640,491,337,51490,2461,2108,154583,10873,8852,133994,23857,23648,88790,6333,6252,27374,4330,4256,111813,7667,7152,105959,9993,9847,11259,732,683,23802,1067,995,39002,3423,3130,140385,17895,17539,58761,5979,5562,12417,873,760,166338,13770,11010,19877,1938,1813,242549,19346,16339,247612,20699,18284,10810,665,542,21205,738,672,4900,221,221,7358,739,649,103093,8412,6744,27760,2644,1860,36844,2102,1948,17125,2022,1577,6217,167,162,16057,570,489,7274,500,465,4030,344,310,111898,8406,7752,191756,27406,23117,35246,3846,3507,179671,14602,14129,323618,34181,31689,214755,16104,15382,46476,4104,3739,491265,21347,16946,210001,18567,16560,275400,24751,21864,75808,5032,4114,65399,6184,5304,22281,494,471,390835,34839,22123,44011,1274,1167,81393,4457,3921,100102,6012,5029,95799,5608,4430,44438,3242,2847,19778,821,648,6626,100,73,103661,8955,8448,106430,3787,3026,75875,2819,2460,187579,13631,9371,29164,997,889,9009,367,335,74118,4668,3749,210825,9506,7694,79800,4948,3722,27250,1803,1349,31059,1928,1196,90533,8412,6348,46665,2194,1736,41590,2590,1928,79590,6094,5191,48123,2820,2124,15155,143,141,72980,3439,3203,117118,7902,6726,163815,12851,10239,48123,2820,2124,75271,4216,3887,29219,976,869,156034,9403,6764,15145,595,457,53302,3587,2699,36514,1876,1572,15573,427,268,15260,1380,1186,43497,3311,2304,53138,3117,2501,23910,1547,1142,36002,2415,1734,17290,1640,1330,53307,3690,3004,244999,22333,16989,15250,1161,1077,9805150,626685,532061
2012.2/2,11432,170,170,40689,328,301,58838,514,483,23109,380,314,40216,556,449,13031,444,444,24654,1632,1632,27557,1741,1591,926362,26066,23395,926362,26066,23395,387539,15374,13234,504062,18909,15851,344435,32971,30631,52695,700,681,288879,10397,9903,543227,26522,22814,7253,293,262,27532,2026,2008,27532,2026,2008,27245,1043,938,16762,1071,857,137261,8508,6132,104676,5739,4342,16762,1071,857,73013,5538,4437,273165,12042,10775,127389,4910,4040,20403,1141,914,150021,4799,3746,43716,1923,1473,72130,3186,2648,3693,112,66,10843,479,309,53996,2409,2032,160843,10104,8390,133874,30094,29718,92264,2025,1974,30287,555,504,109293,6204,5496,110628,5070,5010,11661,151,107,24087,680,621,45655,3022,2775,143541,8932,8011,63595,1996,1659,14067,776,647,167184,12490,9020,21484,1482,1430,247971,16324,12455,252366,22019,19281,11792,984,875,23804,649,624,5257,118,116,7937,176,125,106847,7695,6358,30684,2538,1924,35074,1598,1442,15361,1689,1554,5848,570,567,18384,1058,1013,7574,847,810,3135,451,423,121510,8202,7047,187870,34406,30054,36450,6420,5720,178707,17666,16965,327111,27628,24266,214109,16609,15699,44151,5009,4732,505780,22873,19257,207111,25882,22182,265019,33060,28807,77365,7682,6728,57908,7178,6625,21749,977,950,397455,37060,23422,45194,1022,933,74921,7059,6093,82867,9712,8930,87951,8132,6478,35279,4475,3697,20015,848,804,8842,395,285,60340,12946,12466,110913,3524,2887,73838,2750,2439,199717,13272,9031,30019,1110,1049,7937,433,365,77572,4134,3321,210753,10585,8708,76621,3814,2851,25175,1896,1254,30219,1607,958,85835,8065,5747,47310,3379,2294,37242,2110,1625,82158,7113,6282,52100,3069,2260,14617,94,74,78854,3086,2777,119416,7700,6041,160057,14277,10840,52100,3069,2260,73013,5538,4437,31251,1074,838,155038,10997,7732,16114,471,447,52197,3338,2162,35522,1830,1196,15782,1019,673,15105,1568,1483,42198,3720,2649,54728,4106,2830,27300,1669,1210,35917,2197,1410,15413,1054,824,44598,2135,1750,272031,33281,24789,14644,376,303,9884455,660219,554625
