keco,ksco,2008.1/2,2008.1/2.1,2008.1/2.2,2008.2/2,2008.2/2.1,2008.2/2.2,2009.1/2,2009.1/2.1,2009.1/2.2,2009.2/2,2009.2/2.1,2009.2/2.2,2010.1/2,2010.1/2.1,2010.1/2.2,2010.2/2,2010.2/2.1,2010.2/2.2,2011.1/2,2011.1/2.1,2011.1/2.2,2011.2/2,2011.2/2.1,2011.2/2.2,2012.1/2,2012.1/2.1,2012.1/2.2,2012.2/2,2012.2/2.1,2012.2/2.2,2013.1/2,2013.1/2.1,2013.1/2.2,2013.2/2,2013.2/2.1,2013.2/2.2,2014.1/2,2014.1/2.1,2014.1/2.2,2014.2/2,2014.2/2.1,2014.2/2.2,2015.1/2,2015.1/2.1,2015.1/2.2,2015.2/2,2015.2/2.1,2015.2/2.2,2016.1/2,2016.1/2.1,2016.1/2.2,2016.2/2,2016.2/2.1,2016.2/2.2,2017.1/2,2017.1/2.1,2017.1/2.2,2017.2/2,2017.2/2.1,2017.2/2.2,2018.1/2,2018.1/2.1,2018.1/2.2,2018.2/2,2018.2/2.1,2018.2/2.2,2019.1/2,2019.1/2.1,2019.1/2.2,2019.2/2,2019.2/2.1,2019.2/2.2,2020.1/2,2020.1/2.1,2020.1/2.2,2020.2/2,2020.2/2.1,2020.2/2.2,2021.1/2,2021.1/2.1,2021.1/2.2,2021.2/2,2021.2/2.1,2021.2/2.2,2022.1/2,2022.1/2.1,2022.1/2.2,2022.2/2,2022.2/2.1,2022.2/2.2,2023.1/2,2023.1/2.1,2023.1/2.2,2023.2/2,2023.2/2.1,2023.2/2.2,2024.1/2,2024.1/2.1,2024.1/2.2
,식별값,현원,구인인원,채용인원,현원,구인인원,채용인원,현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명)
,총원,7768188,625301,511602,7959995,442562,349357,8048203,424897,348387,8128516,465248,383229,8931370,662167,541637,9196034,610216,494828,9503816,636002,511805,9715637,649951,513402,9805150,626685,532061,9884455,660219,554625,10050640,689241,590718,10256347,664337,569628,10432264,754985,661726,10678424,698742,612395,10967146,785318,705943,11326946,715119,624539,11481327,854766,758065,11657993,741122,645840,11684473,855762,761886,11803864,724964,639912,11984990,845775,755574,12192880,756130,672219,12247216,810487,733478,12429758,687724,611815,12452413,798171,738176,12515581,631476,564288,12684179,819699,734381,13067272,870365,758596,13161419,1014867,877099,13385094,941947,788685,13459274,1053771,916879,13589901,891555,779142,13647444,1046630,950730
11,111,6586,153,143,5983,57,59,7181,102,94,7899,96,96,8293,125,120,5984,58,58,8724,134,125,8479,73,73,5816,102,99,11432,170,170,8343,168,155,7273,89,89,6416,86,85,7452,78,72,6184,125,123,6750,58,58,5874,75,75,5306,53,53,5813,107,107,5994,68,67,6509,176,175,6806,84,84,5735,85,85,5428,46,46,7963,180,179,7022,127,124,7718,196,192,7749,124,122,7845,182,174,7147,44,42,7441,124,118,7706,59,58,6277,102,101
11,112,6586,153,143,5983,57,59,7181,102,94,7899,96,96,8293,125,120,5984,58,58,8724,134,125,8479,73,73,5816,102,99,11432,170,170,8343,168,155,7273,89,89,6416,86,85,7452,78,72,6184,125,123,6750,58,58,5874,75,75,5306,53,53,5813,107,107,5994,68,67,6509,176,175,6806,84,84,5735,85,85,5428,46,46,7963,180,179,7022,127,124,7718,196,192,7749,124,122,7845,182,174,7147,44,42,7441,124,118,7706,59,58,6277,102,101
12,121,47852,328,322,49170,231,227,49865,294,274,49580,247,232,52419,521,468,44157,412,403,43041,436,361,45959,309,290,42742,482,450,40689,328,301,43477,382,370,40089,446,445,36371,588,582,38319,371,345,39111,535,523,42024,383,383,38681,478,459,35558,417,406,35276,494,489,37795,335,275,39075,563,549,40823,608,599,43920,717,717,45148,455,388,56992,658,626,53491,421,399,54217,714,675,55047,508,472,56748,899,783,56895,687,630,57178,691,665,58696,548,511,61084,895,861
12,122,47852,328,322,49170,231,227,49865,294,274,49580,247,232,52419,521,468,44157,412,403,43041,436,361,45959,309,290,42742,482,450,40689,328,301,43477,382,370,40089,446,445,36371,588,582,38319,371,345,39111,535,523,42024,383,383,38681,478,459,35558,417,406,35276,494,489,37795,335,275,39075,563,549,40823,608,599,43920,717,717,45148,455,388,56992,658,626,53491,421,399,54217,714,675,55047,508,472,56748,899,783,56895,687,630,57178,691,665,58696,548,511,61084,895,861
12,132,47852,328,322,49170,231,227,49865,294,274,49580,247,232,52419,521,468,44157,412,403,43041,436,361,45959,309,290,42742,482,450,40689,328,301,43477,382,370,40089,446,445,36371,588,582,38319,371,345,39111,535,523,42024,383,383,38681,478,459,35558,417,406,35276,494,489,37795,335,275,39075,563,549,40823,608,599,43920,717,717,45148,455,388,56992,658,626,53491,421,399,54217,714,675,55047,508,472,56748,899,783,56895,687,630,57178,691,665,58696,548,511,61084,895,861
13,131,47852,328,322,49170,231,227,49865,294,274,49580,247,232,52419,521,468,44157,412,403,43041,436,361,45959,309,290,42742,482,450,40689,328,301,43477,382,370,40089,446,445,36371,588,582,38319,371,345,39111,535,523,42024,383,383,38681,478,459,35558,417,406,35276,494,489,37795,335,275,39075,563,549,40823,608,599,43920,717,717,45148,455,388,29188,450,431,30366,313,298,31395,306,303,31001,212,209,31660,420,383,31857,298,264,32517,297,257,29517,350,344,30656,310,305
13,133,47852,328,322,49170,231,227,49865,294,274,49580,247,232,52419,521,468,44157,412,403,43041,436,361,45959,309,290,42742,482,450,40689,328,301,43477,382,370,40089,446,445,36371,588,582,38319,371,345,39111,535,523,42024,383,383,38681,478,459,35558,417,406,35276,494,489,37795,335,275,39075,563,549,40823,608,599,43920,717,717,45148,455,388,29188,450,431,30366,313,298,31395,306,303,31001,212,209,31660,420,383,31857,298,264,32517,297,257,29517,350,344,30656,310,305
13,134,47852,328,322,49170,231,227,49865,294,274,49580,247,232,52419,521,468,44157,412,403,43041,436,361,45959,309,290,42742,482,450,40689,328,301,43477,382,370,40089,446,445,36371,588,582,38319,371,345,39111,535,523,42024,383,383,38681,478,459,35558,417,406,35276,494,489,37795,335,275,39075,563,549,40823,608,599,43920,717,717,45148,455,388,29188,450,431,30366,313,298,31395,306,303,31001,212,209,31660,420,383,31857,298,264,32517,297,257,29517,350,344,30656,310,305
